SOURCE	TARGET	count
AC-like	AC-like	95
AC-like	MES-like	150
AC-like	OPC-like	174
AC-like	NPC-like	168
AC-like	microglial_cell	111
AC-like	macrophage	132
MES-like	AC-like	150
MES-like	MES-like	57
MES-like	OPC-like	127
MES-like	NPC-like	117
MES-like	microglial_cell	107
MES-like	macrophage	131
OPC-like	AC-like	174
OPC-like	MES-like	127
OPC-like	OPC-like	79
OPC-like	NPC-like	157
OPC-like	microglial_cell	104
OPC-like	macrophage	126
NPC-like	AC-like	168
NPC-like	MES-like	117
NPC-like	OPC-like	157
NPC-like	NPC-like	77
NPC-like	microglial_cell	79
NPC-like	macrophage	102
microglial_cell	AC-like	111
microglial_cell	MES-like	107
microglial_cell	OPC-like	104
microglial_cell	NPC-like	79
microglial_cell	microglial_cell	69
microglial_cell	macrophage	159
macrophage	AC-like	132
macrophage	MES-like	131
macrophage	OPC-like	126
macrophage	NPC-like	102
macrophage	microglial_cell	159
macrophage	macrophage	93
