id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	Neoplastic|Neoplastic	Neoplastic|microglial_cell	microglial_cell|Neoplastic	microglial_cell|microglial_cell
CPI-CS0A5B6BD7A	12oxoLeukotrieneB4_byPTGR1_LTB4R	complex:12oxoLeukotrieneB4_byPTGR1	simple:Q15722		ENSG00000213903	True	False	True	curated	False	0.069	0.084	0.044	0.059
CPI-CS047D9C0D7	LeukotrieneB4_byLTA4H_LTB4R	complex:LeukotrieneB4_byLTA4H	simple:Q15722		ENSG00000213903	True	False	True	curated	False	0.063	0.078	0.086	0.101
CPI-CS04A56D5BE	12oxoLeukotrieneB4_byPTGR1_LTB4R2	complex:12oxoLeukotrieneB4_byPTGR1	simple:Q9NPC1		ENSG00000213906	True	False	True	curated	False	0.065	0.066	0.04	0.041
CPI-CS0F5B070C5	LeukotrieneB4_byLTA4H_LTB4R2	complex:LeukotrieneB4_byLTA4H	simple:Q9NPC1		ENSG00000213906	True	False	True	curated	False	0.06	0.06	0.082	0.083
CPI-CS0AFE4D0CB	LeukotrieneB4_byLTA4H_GPR17	complex:LeukotrieneB4_byLTA4H	simple:Q13304		ENSG00000144230	True	False	True	curated	False	0.085	0.06	0.108	0.083
CPI-CS00DCACEEE	LeukotrieneC4_byLTC4S_GPR17	complex:LeukotrieneC4_byLTC4S	simple:Q13304		ENSG00000144230	True	False	True	curated	False	0.029	0.004	0.153	0.128
CPI-CS0957C3253	LeukotrieneD4_byGGT1_GPR17	complex:LeukotrieneD4_byGGT1	simple:Q13304		ENSG00000144230	True	False	True	curated	False	0.028	0.002	0.026	0.001
CPI-CS01FC3CF4D	LeukotrieneC4_byLTC4S_CYSLTR2	complex:LeukotrieneC4_byLTC4S	simple:Q9NS75		ENSG00000152207	True	False	True	curated	False	0.004	0.004	0.128	0.128
CPI-CS0A0F970F5	LeukotrieneD4_byGGT1_CYSLTR2	complex:LeukotrieneD4_byGGT1	simple:Q9NS75		ENSG00000152207	True	False	True	curated	False	0.002	0.002	0.001	0.001
CPI-CS0891F5216	LeukotrieneC4_byLTC4S_CYSLTR1	complex:LeukotrieneC4_byLTC4S	simple:Q9Y271		ENSG00000173198	True	False	True	curated	False	0.005	0.033	0.129	0.157
CPI-CS0C4ABE334	LeukotrieneD4_byGGT1_CYSLTR1	complex:LeukotrieneD4_byGGT1	simple:Q9Y271		ENSG00000173198	True	False	True	curated	False	0.003	0.032	0.002	0.03
CPI-CS048E474A5	LeukotrieneE4_byDPEP2_CYSLTR1	complex:LeukotrieneE4_byDPEP2	simple:Q9Y271		ENSG00000173198	True	False	True	curated	False	0.002	0.03	0.016	0.045
