SOURCE	TARGET	count
malignant_cell	malignant_cell	73
malignant_cell	mast_cell	47
malignant_cell	endothelial_cell	138
malignant_cell	astrocyte	112
malignant_cell	oligodendrocyte	97
malignant_cell	dendritic_cell	100
malignant_cell	neuron	102
malignant_cell	monocyte	126
malignant_cell	natural_killer_cell	76
malignant_cell	radial_glial_cell	8
malignant_cell	mural_cell	131
mast_cell	malignant_cell	47
mast_cell	mast_cell	18
mast_cell	endothelial_cell	44
mast_cell	astrocyte	47
mast_cell	oligodendrocyte	40
mast_cell	dendritic_cell	82
mast_cell	neuron	31
mast_cell	monocyte	93
mast_cell	natural_killer_cell	54
mast_cell	radial_glial_cell	4
mast_cell	mural_cell	58
endothelial_cell	malignant_cell	138
endothelial_cell	mast_cell	44
endothelial_cell	endothelial_cell	58
endothelial_cell	astrocyte	97
endothelial_cell	oligodendrocyte	86
endothelial_cell	dendritic_cell	90
endothelial_cell	neuron	84
endothelial_cell	monocyte	109
endothelial_cell	natural_killer_cell	77
endothelial_cell	radial_glial_cell	10
endothelial_cell	mural_cell	161
astrocyte	malignant_cell	112
astrocyte	mast_cell	47
astrocyte	endothelial_cell	97
astrocyte	astrocyte	49
astrocyte	oligodendrocyte	77
astrocyte	dendritic_cell	85
astrocyte	neuron	97
astrocyte	monocyte	107
astrocyte	natural_killer_cell	67
astrocyte	radial_glial_cell	10
astrocyte	mural_cell	105
oligodendrocyte	malignant_cell	97
oligodendrocyte	mast_cell	40
oligodendrocyte	endothelial_cell	86
oligodendrocyte	astrocyte	77
oligodendrocyte	oligodendrocyte	38
oligodendrocyte	dendritic_cell	71
oligodendrocyte	neuron	76
oligodendrocyte	monocyte	87
oligodendrocyte	natural_killer_cell	61
oligodendrocyte	radial_glial_cell	8
oligodendrocyte	mural_cell	97
dendritic_cell	malignant_cell	100
dendritic_cell	mast_cell	82
dendritic_cell	endothelial_cell	90
dendritic_cell	astrocyte	85
dendritic_cell	oligodendrocyte	71
dendritic_cell	dendritic_cell	67
dendritic_cell	neuron	59
dendritic_cell	monocyte	153
dendritic_cell	natural_killer_cell	108
dendritic_cell	radial_glial_cell	14
dendritic_cell	mural_cell	118
neuron	malignant_cell	102
neuron	mast_cell	31
neuron	endothelial_cell	84
neuron	astrocyte	97
neuron	oligodendrocyte	76
neuron	dendritic_cell	59
neuron	neuron	56
neuron	monocyte	68
neuron	natural_killer_cell	50
neuron	radial_glial_cell	9
neuron	mural_cell	86
monocyte	malignant_cell	126
monocyte	mast_cell	93
monocyte	endothelial_cell	109
monocyte	astrocyte	107
monocyte	oligodendrocyte	87
monocyte	dendritic_cell	153
monocyte	neuron	68
monocyte	monocyte	87
monocyte	natural_killer_cell	122
monocyte	radial_glial_cell	18
monocyte	mural_cell	139
natural_killer_cell	malignant_cell	76
natural_killer_cell	mast_cell	54
natural_killer_cell	endothelial_cell	77
natural_killer_cell	astrocyte	67
natural_killer_cell	oligodendrocyte	61
natural_killer_cell	dendritic_cell	108
natural_killer_cell	neuron	50
natural_killer_cell	monocyte	122
natural_killer_cell	natural_killer_cell	42
natural_killer_cell	radial_glial_cell	11
natural_killer_cell	mural_cell	98
radial_glial_cell	malignant_cell	8
radial_glial_cell	mast_cell	4
radial_glial_cell	endothelial_cell	10
radial_glial_cell	astrocyte	10
radial_glial_cell	oligodendrocyte	8
radial_glial_cell	dendritic_cell	14
radial_glial_cell	neuron	9
radial_glial_cell	monocyte	18
radial_glial_cell	natural_killer_cell	11
radial_glial_cell	radial_glial_cell	0
radial_glial_cell	mural_cell	3
mural_cell	malignant_cell	131
mural_cell	mast_cell	58
mural_cell	endothelial_cell	161
mural_cell	astrocyte	105
mural_cell	oligodendrocyte	97
mural_cell	dendritic_cell	118
mural_cell	neuron	86
mural_cell	monocyte	139
mural_cell	natural_killer_cell	98
mural_cell	radial_glial_cell	3
mural_cell	mural_cell	83
