gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	microglial_cell	neoplastic
PTGR1	Q14914	True	PTGR1_HUMAN	12oxoLeukotrieneB4_byPTGR1	CPI-CS0A5B6BD7A	0.135	0.001
SULT1A1	P50225	True	ST1A1_HUMAN	DHEAsulfate_bySULT2B	CPI-CS0412B081A	0.046	0.002
SULT1A1	P50225	True	ST1A1_HUMAN	DHEAsulfate_bySULT2B	CPI-CS0D89E7C19	0.046	0.002
SULT1A1	P50225	True	ST1A1_HUMAN	DHEAsulfate_bySULT2B	CPI-CS099F73A95	0.046	0.002
UBASH3B	Q8TF42	True	UBS3B_HUMAN	Dehydroepiandrosterone_bySTS	CPI-CS0259A0EB4	0.078	0.001
IL10RA	Q13651	True	I10R1_HUMAN	IL10_receptor	CPI-CS090610CD1	0.277	0.001
IL10RB	Q08334	True	I10R2_HUMAN	IL10_receptor	CPI-CS090610CD1	0.277	0.001
IL6R	P08887	True	IL6RA_HUMAN	IL6_receptor	CPI-CS023BD53E7	0.24	0.001
IL6ST	P40189	True	IL6RB_HUMAN	IL6_receptor	CPI-CS023BD53E7	0.24	0.001
LTA4H	P09960	True	LKHA4_HUMAN	LeukotrieneB4_byLTA4H	CPI-CS047D9C0D7	0.251	0.001
ALOX5AP	P20292	True	AL5AP_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS0891F5216	0.368	0.001
ALOX5AP	P20292	True	AL5AP_HUMAN	LipoxinA4_byALOX5	CPI-CS087E1C654	0.368	0.001
ALOX5AP	P20292	True	AL5AP_HUMAN	LipoxinA4_byALOX5	CPI-CS0FC36F030	0.368	0.001
ALOX5	P09917	True	LOX5_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS0891F5216	0.368	0.001
ALOX5	P09917	True	LOX5_HUMAN	LipoxinA4_byALOX5	CPI-CS087E1C654	0.368	0.001
ALOX5	P09917	True	LOX5_HUMAN	LipoxinA4_byALOX5	CPI-CS0FC36F030	0.368	0.001
LTC4S	Q16873	True	LTC4S_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS0891F5216	0.368	0.001
LTC4S	Q16873	True	LTC4S_HUMAN	LipoxinA4_byALOX5	CPI-CS087E1C654	0.368	0.001
LTC4S	Q16873	True	LTC4S_HUMAN	LipoxinA4_byALOX5	CPI-CS0FC36F030	0.368	0.001
DPEP2	Q9H4A9	True	DPEP2_HUMAN	LeukotrieneE4_byDPEP2	CPI-CS048E474A5	0.049	0.001
CCL4	P13236	False	CCL4_HUMAN		CPI-SS0D1D95883	2.377	0.001
CCL5	P13501	False	CCL5_HUMAN		CPI-SS0B01D306C	0.239	0.002
CCL5	P13501	False	CCL5_HUMAN		CPI-SS0A021DB6E	0.239	0.002
CCL3L1	CCL3L1	False	CCL3L1		CPI-SS0E1735D13	1.582	0.001
CCL3L1	P16619	False	CL3L1_HUMAN		CPI-SS0817CE2B3	1.582	0.001
SPP1	P10451	False	OSTP_HUMAN		CPI-SC0C81483EA	4.664	0.001
FN1	P02751	False	FINC_HUMAN		CPI-SC0F96CE387	0.078	0.002
PLAUR	Q03405	False	UPAR_HUMAN		CPI-SC0E029AB31	0.959	0.002
JAM2	P57087	False	JAM2_HUMAN		CPI-SC0C2126F8E	0.144	0.001
SPP1	P10451	False	OSTP_HUMAN		CPI-SS02AB0C3E0	4.664	0.001
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS0703338F5	0.933	0.002
TYROBP	O43914	False	TYOBP_HUMAN		CPI-SS014C07723	2.981	0.002
