gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	microglial_cell	neoplastic
PTGR1	Q14914	True	PTGR1_HUMAN	12oxoLeukotrieneB4_byPTGR1	CPI-CS0A5B6BD7A	0.11	0.013
SULT1A1	P50225	True	ST1A1_HUMAN	DHEAsulfate_bySULT2B	CPI-CS0412B081A	0.04	0.004
SULT1A1	P50225	True	ST1A1_HUMAN	DHEAsulfate_bySULT2B	CPI-CS0D89E7C19	0.04	0.004
SULT1A1	P50225	True	ST1A1_HUMAN	DHEAsulfate_bySULT2B	CPI-CS099F73A95	0.04	0.004
UBASH3B	Q8TF42	True	UBS3B_HUMAN	Dehydroepiandrosterone_bySTS	CPI-CS0259A0EB4	0.08	0.008
IL10RA	Q13651	True	I10R1_HUMAN	IL10_receptor	CPI-CS090610CD1	0.227	0.027
IL10RB	Q08334	True	I10R2_HUMAN	IL10_receptor	CPI-CS090610CD1	0.227	0.027
IL6R	P08887	True	IL6RA_HUMAN	IL6_receptor	CPI-CS023BD53E7	0.233	0.024
IL6ST	P40189	True	IL6RB_HUMAN	IL6_receptor	CPI-CS023BD53E7	0.233	0.024
LTA4H	P09960	True	LKHA4_HUMAN	LeukotrieneB4_byLTA4H	CPI-CS047D9C0D7	0.219	0.025
ALOX5AP	P20292	True	AL5AP_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS0891F5216	0.329	0.036
ALOX5AP	P20292	True	AL5AP_HUMAN	LipoxinA4_byALOX5	CPI-CS087E1C654	0.329	0.036
ALOX5AP	P20292	True	AL5AP_HUMAN	LipoxinA4_byALOX5	CPI-CS0FC36F030	0.329	0.036
ALOX5	P09917	True	LOX5_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS0891F5216	0.329	0.036
ALOX5	P09917	True	LOX5_HUMAN	LipoxinA4_byALOX5	CPI-CS087E1C654	0.329	0.036
ALOX5	P09917	True	LOX5_HUMAN	LipoxinA4_byALOX5	CPI-CS0FC36F030	0.329	0.036
LTC4S	Q16873	True	LTC4S_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS0891F5216	0.329	0.036
LTC4S	Q16873	True	LTC4S_HUMAN	LipoxinA4_byALOX5	CPI-CS087E1C654	0.329	0.036
LTC4S	Q16873	True	LTC4S_HUMAN	LipoxinA4_byALOX5	CPI-CS0FC36F030	0.329	0.036
DPEP2	Q9H4A9	True	DPEP2_HUMAN	LeukotrieneE4_byDPEP2	CPI-CS048E474A5	0.049	0.005
CCL4	P13236	False	CCL4_HUMAN		CPI-SS0D1D95883	2.795	0.236
CCL5	P13501	False	CCL5_HUMAN		CPI-SS0B01D306C	0.26	0.024
CCL5	P13501	False	CCL5_HUMAN		CPI-SS0A021DB6E	0.26	0.024
CCL3L1	CCL3L1	False	CCL3L1		CPI-SS0E1735D13	1.648	0.156
CCL3L1	P16619	False	CL3L1_HUMAN		CPI-SS0817CE2B3	1.648	0.156
SPP1	P10451	False	OSTP_HUMAN		CPI-SC0C81483EA	4.619	0.466
FN1	P02751	False	FINC_HUMAN		CPI-SC0F96CE387	0.049	0.008
PLAUR	Q03405	False	UPAR_HUMAN		CPI-SC0E029AB31	1.174	0.095
JAM2	P57087	False	JAM2_HUMAN		CPI-SC0C2126F8E	0.137	0.014
SPP1	P10451	False	OSTP_HUMAN		CPI-SS02AB0C3E0	4.619	0.466
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS0703338F5	0.909	0.094
TYROBP	O43914	False	TYOBP_HUMAN		CPI-SS014C07723	2.893	0.298
HGF	P14210	False	HGF_HUMAN		CPI-SS03722104E	0.057	0.006
SPP1	P10451	False	OSTP_HUMAN		CPI-SS0C1BD22BC	4.619	0.466
SPP1	P10451	False	OSTP_HUMAN		CPI-SC069FF84F5	4.619	0.466
GRN	P28799	False	GRN_HUMAN		CPI-SS07CCAD9BF	1.526	0.152
LRPAP1	P30533	False	AMRP_HUMAN		CPI-SS02A53F29E	0.534	0.056
COPA	P53621	False	COPA_HUMAN		CPI-SS04F3A1E5C	0.268	0.027
FAM3C	Q92520	False	FAM3C_HUMAN		CPI-SS02A0FF87F	0.214	0.02
CSF1	P09603	False	CSF1_HUMAN		CPI-SS068C129D6	0.173	0.01
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS048346C2B	0.909	0.094
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS09C52F54E	0.909	0.094
APP	P05067	False	A4_HUMAN		CPI-SS07ACDDCD6	0.194	0.017
MDK	P21741	False	MK_HUMAN		CPI-SS083CBFACD	0.089	0.007
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS002DF6C31	0.909	0.094
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS0CE693E3E	0.909	0.094
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS0419B80C4	0.909	0.094
PDGFB	P01127	False	PDGFB_HUMAN		CPI-SS02928C71A	0.235	0.019
MDK	P21741	False	MK_HUMAN		CPI-SS006C6537E	0.089	0.007
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS014958F32	0.909	0.094
SIRPA	P78324	False	SHPS1_HUMAN		CPI-SS0339AE950	0.413	0.041
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS08877A081	0.909	0.094
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS0E23CEB91	0.909	0.094
CADM1	Q9BY67	False	CADM1_HUMAN		CPI-SS0889E281D	0.153	0.018
CD226	Q15762	False	CD226_HUMAN		CPI-SS06207F70E	0.077	0.008
FN1	P02751	False	FINC_HUMAN		CPI-SC06C3BA86F	0.049	0.008
FN1	P02751	False	FINC_HUMAN		CPI-SC08F923F07	0.049	0.008
FN1	P02751	False	FINC_HUMAN		CPI-SC09B45FB39	0.049	0.008
THBS1	P07996	False	TSP1_HUMAN		CPI-SS0C93E48D7	0.025	0.002
ICAM1	P05362	False	ICAM1_HUMAN		CPI-SC0C09120F1	0.467	0.034
C3	P01024	False	CO3_HUMAN		CPI-SC0C93C7670	1.765	0.204
ICAM1	P05362	False	ICAM1_HUMAN		CPI-SC08CB03AD8	0.467	0.034
HLA-C	HLAC	False	HLAC		CPI-SS034D36D2F	2.557	0.259
LAMP1	P11279	False	LAMP1_HUMAN		CPI-SS055E061C9	0.751	0.07
CXADR	P78310	False	CXAR_HUMAN		CPI-SS033CB0BB2	0.164	0.02
TGFB1	P01137	False	TGFB1_HUMAN		CPI-SC0DABCC4B5	0.504	0.056
TGFB1	P01137	False	TGFB1_HUMAN		CPI-SC01AADFEB3	0.504	0.056
CD1D	P15813	False	CD1D_HUMAN		CPI-SS0EAB03260	0.034	0.005
EGFR	P00533	False	EGFR_HUMAN		CPI-SS0055264F3	0.076	0.004
EGFR	P00533	False	EGFR_HUMAN		CPI-SS00EDDD458	0.076	0.004
CD74	P04233	False	HG2A_HUMAN		CPI-SS0ABC5C1B8	4.274	0.432
EGFR	P00533	False	EGFR_HUMAN		CPI-SS0481D83A4	0.076	0.004
ICAM1	P05362	False	ICAM1_HUMAN		CPI-SS0D4C221B8	0.467	0.034
EGFR	P00533	False	EGFR_HUMAN		CPI-SS08CA619FE	0.076	0.004
TNFRSF1A	P19438	False	TNR1A_HUMAN		CPI-SS0DA033F03	0.537	0.061
TNFRSF1B	P20333	False	TNR1B_HUMAN		CPI-SS0C4E86714	0.529	0.051
EGFR	P00533	False	EGFR_HUMAN		CPI-SS088A0A760	0.076	0.004
CD74	P04233	False	HG2A_HUMAN		CPI-SS0302E8E8F	4.274	0.432
EGFR	P00533	False	EGFR_HUMAN		CPI-SS0C10824C7	0.076	0.004
CD44	P16070	False	CD44_HUMAN		CPI-SS0632A027A	0.164	0.015
TFRC	P02786	False	TFR1_HUMAN		CPI-SS03133B4F2	0.29	0.025
CD40	P25942	False	TNR5_HUMAN		CPI-SS0F00D756A	0.196	0.019
TNFRSF13C	Q96RJ3	False	TR13C_HUMAN		CPI-SS09648FAA9	0.045	0.004
CD74	P04233	False	HG2A_HUMAN		CPI-SS09808DEAE	4.274	0.432
TNFRSF21	O75509	False	TNR21_HUMAN		CPI-SS0A0718AC5	0.075	0.005
ICAM1	P05362	False	ICAM1_HUMAN		CPI-SS09C4FCB90	0.467	0.034
ICAM1	P05362	False	ICAM1_HUMAN		CPI-SS0E9A581F8	0.467	0.034
ICAM1	P05362	False	ICAM1_HUMAN		CPI-SC00035437A	0.467	0.034
ICAM2	P13598	False	ICAM2_HUMAN		CPI-SC0943ECD6E	0.099	0.009
ICAM3	P32942	False	ICAM3_HUMAN		CPI-SC09DC9200A	0.056	0.01
F11R	Q9Y624	False	JAM1_HUMAN		CPI-SC0DEE2AF32	0.073	0.008
IL1B	P01584	False	IL1B_HUMAN		CPI-SS0C6448B94	1.54	0.128
NRP1	O14786	False	NRP1_HUMAN		CPI-SS0DE0A486F	0.168	0.018
NRP2	O60462	False	NRP2_HUMAN		CPI-SS0E00478B4	0.332	0.029
NRP1	O14786	False	NRP1_HUMAN		CPI-SS033E6DE7E	0.168	0.018
FLT1	P17948	False	VGFR1_HUMAN		CPI-SS0947A8549	0.046	0.004
ADRB2	P07550	False	ADRB2_HUMAN		CPI-SS098425155	0.2	0.023
PLXNB2	O15031	False	PLXB2_HUMAN		CPI-SS0AB21032D	0.154	0.018
TNFSF10	P50591	False	TNF10_HUMAN		CPI-SS0DEDA3567	0.313	0.034
TFRC	P02786	False	TFR1_HUMAN		CPI-SS0651A6E1F	0.29	0.025
C3	P01024	False	CO3_HUMAN		CPI-SS03E48EFEA	1.765	0.204
C3	P01024	False	CO3_HUMAN		CPI-SS00F4019EA	1.765	0.204
NR3C1	P04150	False	GCR_HUMAN		CPI-SS0FBFBF63E	0.312	0.031
NR3C1	P04150	False	GCR_HUMAN		CPI-SS0A84B95C5	0.312	0.031
NR3C1	P04150	False	GCR_HUMAN		CPI-SS052C9BB74	0.312	0.031
CCR1	P32246	False	CCR1_HUMAN		CPI-SS0F8C2FA91	0.463	0.046
CCR5	P51681	False	CCR5_HUMAN		CPI-SS0DFAF1FE2	0.06	0.006
TNFRSF10B	O14763	False	TR10B_HUMAN		CPI-SS0898D7F7F	0.16	0.014
TNFRSF11B	O00300	False	TR11B_HUMAN		CPI-SS0AD0ED887	0.062	0.008
ANXA1	P04083	False	ANXA1_HUMAN		CPI-SS030BB46BB	0.297	0.034
APP	P05067	False	A4_HUMAN		CPI-SS0F66EA6BE	0.194	0.017
ANXA1	P04083	False	ANXA1_HUMAN		CPI-SS0F739D3DB	0.297	0.034
ANXA1	P04083	False	ANXA1_HUMAN		CPI-SS06CCF5A54	0.297	0.034
APP	P05067	False	A4_HUMAN		CPI-SC0E89A4EF0	0.194	0.017
APOE	P02649	False	APOE_HUMAN		CPI-SC06C75F978	4.304	0.436
CLU	P10909	False	CLUS_HUMAN		CPI-SC046AFCFE9	0.315	0.024
MDK	P21741	False	MK_HUMAN		CPI-SS027E12A36	0.089	0.007
PTN	P21246	False	PTN_HUMAN		CPI-SS04E690D72	0.153	0.01
WNT5A	P41221	False	WNT5A_HUMAN		CPI-SS0C56C483F	0.154	0.02
GDF11	O95390	False	GDF11_HUMAN		CPI-SS0331C5A49	0.038	0.003
PLXNB2	O15031	False	PLXB2_HUMAN		CPI-SS0BFB29A42	0.154	0.018
PLXNB2	O15031	False	PLXB2_HUMAN		CPI-SS08FAC0A55	0.154	0.018
PTPRC	P08575	False	PTPRC_HUMAN		CPI-SS059EC4FAE	0.99	0.109
CD72	P21854	False	CD72_HUMAN		CPI-SS06AA638A8	0.072	0.006
MIF	P14174	False	MIF_HUMAN		CPI-SS02ACCF1F7	0.772	0.069
TNFSF10	P50591	False	TNF10_HUMAN		CPI-SS095E52E66	0.313	0.034
MIF	P14174	False	MIF_HUMAN		CPI-SS059EEFDC6	0.772	0.069
PROS1	P07225	False	PROS_HUMAN		CPI-SS0C85BC9AF	0.1	0.011
RNASET2	O00584	False	RNT2_HUMAN		CPI-SS016FD0C8A	2.397	0.25
CXCL12	P48061	False	SDF1_HUMAN		CPI-SS0A28DCA72	0.127	0.009
PLD2	O14939	False	PLD2_HUMAN		CPI-SS06A999D25	0.07	0.008
PTPRC	P08575	False	PTPRC_HUMAN		CPI-SS0822AEF5F	0.99	0.109
SEMA4A	Q9H3S1	False	SEM4A_HUMAN		CPI-SS044C72D0D	0.071	0.006
EPHB6	O15197	False	EPHB6_HUMAN		CPI-SS0DC4D593E	0.028	0.004
EPHB2	P29323	False	EPHB2_HUMAN		CPI-SS0111AAD26	0.075	0.007
COPA	P53621	False	COPA_HUMAN		CPI-SS065F7DA2A	0.268	0.027
NAMPT	P43490	False	NAMPT_HUMAN		CPI-SS09A3FA737	0.844	0.065
FPR3	P25089	False	FPR3_HUMAN		CPI-SS0D2539AEB	0.158	0.018
PTGER4	P35408	False	PE2R4_HUMAN		CPI-SC09484F060	0.603	0.044
PTGER4	P35408	False	PE2R4_HUMAN		CPI-SC063B0B7DD	0.603	0.044
TNFSF12	O43508	False	TNF12_HUMAN		CPI-SS02EF3E1BA	0.298	0.034
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SS0B9B3870A	0.157	0.012
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SS02371A6D6	0.157	0.012
PLXNC1	O60486	False	PLXC1_HUMAN		CPI-SS02B567BC7	0.099	0.013
ADORA3	P0DMS8	False	AA3R_HUMAN		CPI-SS0FF6CFDCA	0.767	0.077
PLAU	P00749	False	UROK_HUMAN		CPI-SS036B08188	0.257	0.022
PROC	P04070	False	PROC_HUMAN		CPI-SS0291D3D2E	0.045	0.007
CSF1R	P07333	False	CSF1R_HUMAN		CPI-SS0B01CF3AB	1.243	0.129
CD55	P08174	False	DAF_HUMAN		CPI-SS061A7E099	0.19	0.017
SELL	P14151	False	LYAM1_HUMAN		CPI-SS087321EB5	0.165	0.018
CD99	P14209	False	CD99_HUMAN		CPI-SS01560CA22	0.733	0.082
SPN	P16150	False	LEUK_HUMAN		CPI-SS02A170A99	0.137	0.014
LGALS3	P17931	False	LEG3_HUMAN		CPI-SS076940BCD	0.268	0.026
C5AR1	P21730	False	C5AR1_HUMAN		CPI-SS01946BE5C	0.656	0.054
AXL	P30530	False	UFO_HUMAN		CPI-SS03A4F7DC8	0.677	0.068
MERTK	Q12866	False	MERTK_HUMAN		CPI-SS0415CC75D	0.43	0.037
CD52	P31358	False	CD52_HUMAN		CPI-SS073C1B796	0.062	0.01
BSG	P35613	False	BASI_HUMAN		CPI-SS02DA892C8	0.572	0.059
LILRA4	P59901	False	LIRA4_HUMAN		CPI-SS095DCA7F7	0.103	0.013
CD47	Q08722	False	CD47_HUMAN		CPI-SC05C71E348	0.334	0.033
LAIR1	Q6GTX8	False	LAIR1_HUMAN		CPI-SS067BA9202	0.717	0.073
PTGES2	Q9H7Z7	True	PGES2_HUMAN	ProstaglandinE2_byPTGES2	CPI-SC09484F060	0.156	0.019
PTGES3	Q15185	True	TEBP_HUMAN	ProstaglandinE2_byPTGES3	CPI-SC063B0B7DD	1.06	0.101
SIRPB1	O00241	True	SIRB1_HUMAN	SIRB1_complex	CPI-SC05C71E348	0.082	0.006
TYROBP	O43914	True	TYOBP_HUMAN	SIRB1_complex	CPI-SC05C71E348	0.082	0.006
TYROBP	O43914	True	TYOBP_HUMAN	TREM2_receptor	CPI-SC0E89A4EF0	2.025	0.218
TYROBP	O43914	True	TYOBP_HUMAN	TREM2_receptor	CPI-SC06C75F978	2.025	0.218
TYROBP	O43914	True	TYOBP_HUMAN	TREM2_receptor	CPI-SC046AFCFE9	2.025	0.218
TGFBR1	P36897	True	TGFR1_HUMAN	TGFbeta_receptor1	CPI-SC0DABCC4B5	0.356	0.038
TGFBR2	P37173	True	TGFR2_HUMAN	TGFbeta_receptor1	CPI-SC0DABCC4B5	0.356	0.038
TGFBR2	P37173	True	TGFR2_HUMAN	TGFbeta_receptor2	CPI-SC01AADFEB3	0.036	0.004
ACVR1	Q04771	True	ACVR1_HUMAN	TGFbeta_receptor2	CPI-SC01AADFEB3	0.036	0.004
TREM2	Q9NZC2	True	TREM2_HUMAN	TREM2_receptor	CPI-SC0E89A4EF0	2.025	0.218
TREM2	Q9NZC2	True	TREM2_HUMAN	TREM2_receptor	CPI-SC06C75F978	2.025	0.218
TREM2	Q9NZC2	True	TREM2_HUMAN	TREM2_receptor	CPI-SC046AFCFE9	2.025	0.218
ITGB1	P05556	True	ITB1_HUMAN	integrin_a4b1_complex	CPI-SC0C81483EA	0.037	0.006
ITGB1	P05556	True	ITB1_HUMAN	integrin_a4b1_complex	CPI-SC0F96CE387	0.037	0.006
ITGB1	P05556	True	ITB1_HUMAN	integrin_a4b1_complex	CPI-SC0E029AB31	0.037	0.006
ITGB1	P05556	True	ITB1_HUMAN	integrin_a4b1_complex	CPI-SC0C2126F8E	0.037	0.006
ITGB1	P05556	True	ITB1_HUMAN	integrin_a5b1_complex	CPI-SC06C3BA86F	0.079	0.009
ITGB1	P05556	True	ITB1_HUMAN	integrin_a9b1_complex	CPI-SC069FF84F5	0.028	0.003
ITGB1	P05556	True	ITB1_HUMAN	integrin_aVb1_complex	CPI-SC08F923F07	0.416	0.051
ITGA4	P13612	True	ITA4_HUMAN	integrin_a4b1_complex	CPI-SC0C81483EA	0.037	0.006
ITGA4	P13612	True	ITA4_HUMAN	integrin_a4b1_complex	CPI-SC0F96CE387	0.037	0.006
