genes	logFC	logCPM	LR	PValue	FDR
SUSD2	2.64917324144993	9.6478330526099	16702.4103183736	0	0
AQP4	2.26846885460442	9.73089218110141	44314.0774206266	0	0
POSTN	2.02289709787545	9.63021232874735	22232.8808563047	0	0
EGFR	1.98131463697852	9.95276326021725	39570.3177375665	0	0
HOPX	1.95161430992459	9.84357129583357	34960.927592799	0	0
CCDC80	1.92093842110001	9.68034702818165	27815.2598243146	0	0
TTYH1	1.9018920514329	9.81688912522697	37288.2986757112	0	0
HEPN1	1.85354901326621	9.68780425971456	26189.9579408651	0	0
S100A16	1.82867064998478	9.81899976310948	34420.9230699313	0	0
SOCS2	1.82745357852952	9.64397243630376	23024.7289902992	0	0
FABP7	1.81768123277081	10.1264561673887	57619.5910747899	0	0
MLC1	1.72110118728493	9.6383122653038	19958.8788153107	0	0
AGT	1.70676514526479	9.76383193248453	22470.3325061989	0	0
NES	1.69579193155299	9.79494124914552	27716.72637161	0	0
RGMA	1.69297271881519	9.62167700092367	18663.1764416675	0	0
SLC4A4	1.68692583579321	9.6201142993845	18468.6081671715	0	0
ID4	1.68435833165759	9.74420793678045	23813.882162235	0	0
GPR37L1	1.67884095410491	9.61077143004538	18018.969974892	0	0
LHFP	1.66664764378406	9.63836604064545	18602.7337221829	0	0
MT3	1.65881855487473	10.1894294751069	45887.3409024223	0	0
F3	1.65353203640072	9.69348423043175	20704.0228294281	0	0
SOX9	1.65238047430077	9.76992156590306	24750.7070966111	0	0
NMB	1.64977892209068	9.73913018974095	20319.7986375087	0	0
ELOVL2	1.64102594478078	9.59368426776599	16849.9734927493	0	0
PMP2	1.63539644727434	9.92708912209132	29401.9334798944	0	0
SLC1A2	1.63497404512048	9.65787134162494	18598.4923500543	0	0
HEPACAM	1.63448103952949	9.64204997900057	17960.5317230889	0	0
COX7A1	1.62411556507409	9.56445770984526	16474.8042314504	0	0
ATP1B2	1.61048100943582	9.74613337318703	22147.2444413721	0	0
LANCL2	1.59252810732894	9.69137441254166	17649.0900757054	0	0
NPDC1	1.57883885243317	9.74620691764994	21214.5591280329	0	0
DOK5	1.57770675523664	9.66263476733885	17390.8938813989	0	0
CDC42EP4	1.57487899860847	9.64768368462633	16757.3769330855	0	0
CRIP2	1.57075118893257	9.7213682809737	19782.3269119299	0	0
NOS2	1.56286429000776	9.55538414995869	16169.2397533453	0	0
ITGB8	1.54761582484727	9.71762719788473	18983.2406694546	0	0
CLU	1.54480315525001	10.3128151102123	37444.324497586	0	0
PTN	1.53292440791526	10.3106563203608	40319.4371041613	0	0
FEZ1	1.53114219640339	9.83173431429211	24067.6699382692	0	0
SRPX	1.52999472331688	9.66392978823101	15500.9276996037	0	0
BBOX1	1.51840384236013	9.58244811841294	14149.454815425	0	0
HEY1	1.51609864449737	9.71610999150441	18085.3617213715	0	0
CNN3	1.51180334118901	9.96845560428201	30771.82607869	0	0
TSPAN5	1.50765090206923	9.65663732524679	15536.9176378306	0	0
GFAP	1.50574711532321	9.93309756106254	17361.1167043749	0	0
IGFBP7	1.5035208553036	9.77664379394183	15011.8940349659	0	0
CHST8	1.50097174528225	9.56474595631803	14150.9085160655	0	0
METRN	1.49283129287196	9.90044300168365	26265.2307445238	0	0
FAM84A	1.48954802049276	9.63890868509631	14563.2376661618	0	0
ATP1A2	1.48783465179461	9.5990242820094	13515.7346144667	0	0
CXXC5	1.4809650711881	9.77145323866541	19568.4596187813	0	0
DCN	1.47359377422416	9.59165607495075	9445.82643494837	0	0
C1orf61	1.47329380324561	10.1207735589873	34009.6791261451	0	0
GJA1	1.47295041521158	9.60240210610347	11694.3216126754	0	0
RAMP1	1.47079220874567	9.8591445207994	23369.7522270149	0	0
METTL7B	1.46995174329913	9.65696143077838	14183.6521612289	0	0
CDH6	1.46898621539619	9.58010589254566	13155.6730821526	0	0
PTPRZ1	1.46088307832933	10.0996225030523	33901.8670444948	0	0
MYBPC1	1.45816646036208	9.57849032221649	12632.1771551347	0	0
C21orf62	1.45702566167741	9.59589834058731	12965.3764478036	0	0
GAS1	1.45118136393388	9.63034011199345	12134.0693887396	0	0
POU3F2	1.4446768805917	9.6757378624889	14790.9537109643	0	0
LYPD1	1.43820584771826	9.65090709365934	13839.6493761899	0	0
BCAN	1.42778438256249	9.98666381234636	16083.4421753081	0	0
DTNA	1.4234568989808	9.72816522469503	16221.547084487	0	0
CAPS	1.42327256455604	9.57469338734326	9761.52143245478	0	0
RFX4	1.42274134405905	9.6167450590755	12635.171512019	0	0
MEOX2	1.41842867392541	9.57410917490836	12226.8753765864	0	0
CITED1	1.4137690552797	9.61382670606284	12295.9617587094	0	0
SOX2	1.41321826575677	10.0164453576829	28970.1458525341	0	0
ID1	1.40535162749952	9.67508959205015	9563.72633938218	0	0
CALD1	1.40510649940325	9.93900895384393	24815.7431458604	0	0
IGFBP2	1.40376887643192	10.1525135546036	16973.6697656945	0	0
NCAN	1.39207361889165	9.61101154535029	11423.9625906536	0	0
GPM6B	1.39201236271979	10.1827014206109	36789.8142757416	0	0
STMN3	1.38100431069959	9.67367302772003	13341.9902535683	0	0
SPARC	1.38077537413792	9.94471386931813	24148.5720205813	0	0
CYR61	1.37870353158329	9.72727443498433	9622.52791194354	0	0
CD320	1.37694265838722	9.72375108200673	14931.0887688901	0	0
WLS	1.37635539795162	9.69933205586885	14073.6267877003	0	0
NTRK2	1.37298884799347	9.72383235472444	11141.9401457995	0	0
NOVA1	1.37227211298092	10.0256286607695	27610.4579958341	0	0
FAT3	1.37120441852279	9.57569742090657	11323.2065747651	0	0
