genes	logFC	logCPM	LR	PValue	FDR
CHI3L1	2.26710033956767	9.85359647831392	22742.5702258136	0	0
CAV1	2.18101111428763	9.6463290757582	22063.7345543931	0	0
NNMT	2.1412732317873	9.64811008622965	18943.2261718845	0	0
ANGPTL4	2.11644989661908	9.62138706015925	17168.3094685373	0	0
AKAP12	2.07249012780318	9.71823343750455	24807.1728006306	0	0
IGFBP5	2.06967074521715	9.91930103253773	24167.0944455824	0	0
NDRG1	2.04640850072821	9.70441743465679	25187.4529193715	0	0
SPOCD1	2.0280335393896	9.58672520853157	18889.0616385052	0	0
NRN1	1.98807537789842	9.70208331232254	23926.6593157446	0	0
CA12	1.97380445247514	9.60994503858055	19237.1683747674	0	0
C8orf4	1.91609340885939	9.66428855667044	18590.4131880627	0	0
HILPDA	1.9097249564362	9.72625389308487	19596.4634262152	0	0
C10orf10	1.88187598694479	9.58117571862977	14021.1373351148	0	0
CA9	1.85652795890638	9.56087936679364	16086.0513139642	0	0
EFEMP1	1.82634194378844	9.63837672912191	16895.572530864	0	0
LOX	1.74768699726149	9.55228686041743	12670.8622900317	0	0
C1R	1.73709068719624	9.65058628892594	14280.2709464788	0	0
VEGFA	1.73614844640767	9.82748627708075	24046.9096389896	0	0
COL6A2	1.6712947862859	9.57005760136106	12088.4693879149	0	0
NOL3	1.64547308235256	9.60063616228287	12294.7718184768	0	0
IGFBP3	1.63892138673995	9.72550913319844	8378.9885459105	0	0
CRYAB	1.62762325727526	9.9821562793725	19788.9729535679	0	0
MT1X	1.6208482397273	10.0710233707755	25022.7918777373	0	0
TRIB3	1.61958485625068	9.5712342564563	10496.7390261786	0	0
CXCL14	1.59793287273275	9.59999047324967	8522.52293293186	0	0
ENO2	1.59087335560783	9.69920462668532	14358.2011360917	0	0
CHI3L2	1.59066615870703	9.57418637584067	8007.6278810753	0	0
PTX3	1.58675394815876	9.58646759646457	10012.4228096672	0	0
SLC2A1	1.58200666288907	9.6131848763589	11483.9454635185	0	0
ADM	1.57458910257676	9.75571421450661	12288.3013114755	0	0
LGALS3	1.56036345292584	10.037899212643	28260.8249960941	0	0
SCG2	1.55643598423046	9.70360672647636	9888.51906362208	0	0
NDUFA4L2	1.55442696289547	9.55539916942681	9164.29484696607	0	0
PLOD2	1.55062493528869	9.64012604355318	11647.625052909	0	0
TMEM45A	1.5447203874685	9.606619350055	10722.8491258568	0	0
SEPT14	1.53235807146345	9.55818280154185	3627.57821732529	0	0
CYR61	1.49943993379381	9.72727443498433	8003.1331468993	0	0
C1S	1.49661133933257	9.576457969165	9407.42509851114	0	0
COL6A1	1.49651485306852	9.66025429647183	11267.1955870486	0	0
CHPF	1.49405642780534	9.69477134882451	12252.0616186786	0	0
SLC39A14	1.48474129711747	9.56592243894513	9429.99311184232	0	0
TAGLN	1.46822028087637	9.58714439725861	6144.6161960678	0	0
MGST1	1.46109478012223	9.604885455092	8062.01323046268	0	0
CSRP2	1.45678061301268	9.74503833038867	13096.6712882778	0	0
MGP	1.44847775304836	9.59886345647988	6616.08226654317	0	0
GRB10	1.42414234674228	9.57375278756074	8546.38037477704	0	0
OCIAD2	1.40807846961686	9.8030111470343	13255.6247314404	0	0
SLN	1.4023177995823	9.55072079828435	5537.29244658204	0	0
INAFM1	1.39591141351563	9.66400847983627	9673.4657376877	0	0
EGLN3	1.38852197181335	9.57195401045231	8063.35653702415	0	0
TMEM158	1.38671139241121	9.7109799589891	9282.48376443316	0	0
TNC	1.38017513395137	9.66909025803498	9273.68348127425	0	0
SPARCL1	1.37290735189484	9.97448925029239	11139.3505079764	0	0
CAMK2N1	1.3669793757901	9.76452850405635	11832.2448014607	0	0
SDC4	1.36508747467612	9.56694151355625	7768.61949727945	0	0
AEBP1	1.36324108272691	9.64536218297184	8745.11307143305	0	0
PTRF	1.36077158439559	9.6235794040523	8278.87295380468	0	0
GPC1	1.35301973973286	9.6674765736733	9077.36218506483	0	0
EMP1	1.34414037862744	9.655642952021	8370.45078385199	0	0
EPAS1	1.34326743635274	9.60924992899158	7801.68707924572	0	0
CLU	1.32512723904801	10.3128151102123	14481.9271958258	0	0
SRPX	1.31990548509295	9.66392978823101	7328.64344182314	0	0
S100A16	1.31862869417737	9.81899976310948	10834.8775780062	0	0
PAM	1.31353026585122	9.60677397568801	7377.15976477705	0	0
ERRFI1	1.30481661064097	9.59792473417832	7157.02635519664	0	0
CPE	1.30294606031378	9.8800132233118	10906.1498995233	0	0
NPTX1	1.28298824028885	9.53015628044681	7695.26490547539	0	0
FBXO32	1.27902989125016	9.60190790247575	6882.65934374859	0	0
GADD45A	1.27637713957414	9.81738032967914	11399.7211961033	0	0
PCOLCE	1.27319341955969	9.56388310116775	6647.79794420966	0	0
RND3	1.26373374267799	9.6475499425312	7191.75256517534	0	0
SYTL2	1.25552507966909	9.5626959169807	6450.06399972636	0	0
CP	1.24651769999464	9.53184818254936	7060.90825879313	0	0
AK4	1.24405891215093	9.6715024878229	7555.97660689161	0	0
FAM20C	1.24325250574845	9.67289706604795	7571.07244807997	0	0
OSMR	1.24119330048626	9.54939423242943	6499.97241940204	0	0
PGM2L1	1.2399482660848	9.68108395515345	7680.86064361558	0	0
