genes	logFC	logCPM	LR	PValue	FDR
STMN2	2.65630301744821	9.58853269861867	29295.4914044252	0	0
NNAT	2.3828781774862	9.63517521631413	23392.3989253308	0	0
DLL3	2.08197612497858	9.63665157526153	14811.4848617604	0	0
RP11-620J15.3	2.05822278475778	9.66662965803145	16190.7632414263	0	0
OLIG2	2.05495934306961	9.72010977366216	24478.8585412068	0	0
MARCH9	2.04524291230083	9.63571962969481	16991.0531627399	0	0
CDKN2A	2.02065491666927	9.63594530191801	18966.8806549646	0	0
SMOC1	1.99724388724391	9.57593644701603	16429.9480147438	0	0
STMN4	1.98198823609098	9.64617554718281	17067.5394200901	0	0
HES6	1.97594635221494	9.7568156754425	22881.5877934494	0	0
TMSB15A	1.9688372442233	9.5842405501341	15985.5299543192	0	0
KLRC2	1.96498510980047	9.55211288201098	16151.9410191396	0	0
SCG3	1.9376369864462	9.72402915333084	21551.0800045466	0	0
FGF12	1.88619283644875	9.56692749103521	14259.89626582	0	0
ELAVL4	1.86208105006584	9.59201976829619	14111.7841773935	0	0
CTD-2339F6.1	1.85461394265851	9.54152417407419	11552.2889441482	0	0
UCHL1	1.84632636054709	9.82144927877335	24241.8886568482	0	0
LRRC4C	1.84357253790876	9.59193506554653	13772.336762588	0	0
RBP1	1.84344711288345	9.8296665561003	24602.296925605	0	0
SYT1	1.83185312385342	9.5401239181901	14490.8782312624	0	0
APOD	1.82902999993352	9.66665506284786	11998.9241289019	0	0
DCX	1.82116525640522	9.59299459348043	13393.8479827214	0	0
ITM2A	1.81891356220422	9.57832836674481	10750.2493278276	0	0
PCSK1N	1.8141260435504	9.84483399667494	22839.4400793454	0	0
CYP27B1	1.78980528400361	9.53640286938262	11465.580268838	0	0
BEX1	1.77909407344707	9.79460053428934	20801.6850469947	0	0
CADM2	1.77180703163052	9.64802416028455	14200.2236297723	0	0
LINC00632	1.76689890151076	9.55408772700857	12366.6277467508	0	0
IGF2	1.7589432160835	9.53735655309338	11226.3366958927	0	0
GNG4	1.75450596701442	9.59787517559195	12346.0513267441	0	0
ENHO	1.75168723806454	9.61900948065625	12857.1869565095	0	0
ATCAY	1.75094832087954	9.56789768558517	11906.8902647652	0	0
CRMP1	1.72903634061985	9.64458983319149	13267.6509193767	0	0
TOX3	1.72853228644719	9.55609923506025	11675.890969581	0	0
SOX6	1.72281871486748	9.64160323561801	13053.0574761339	0	0
TAGLN3	1.7193741407603	9.57360321017077	11409.5321683165	0	0
ASCL1	1.71355356134556	9.64034760336402	12843.4140457636	0	0
TNR	1.71108450846911	9.59423417171721	11366.3725835783	0	0
