genes	logFC	logCPM	LR	PValue	FDR
DLL3	1.74238634863288	9.63665157526153	5631.92659952205	0	0
NKAIN4	1.73878862451224	9.63046189741082	8076.38246438065	0	0
TOP2A	1.64292341064777	9.62572517690675	4861.72097592389	0	0
PBK	1.61636435296591	9.58490819267301	5676.45848928436	0	0
COL20A1	1.59879989346745	9.55104882274532	6847.36804987145	0	0
SOX8	1.56719436177608	9.62792988696691	7231.8675394414	0	0
CENPF	1.53128547679844	9.63991087371459	4468.49402856694	0	0
MAP2	1.51241263567962	9.78918942133835	10035.4397969017	0	0
HES6	1.49288765280919	9.7568156754425	6662.80838346627	0	0
NUSAP1	1.4918073837293	9.61585727861836	4799.69116372718	0	0
ASCL1	1.48077872552764	9.64034760336402	6242.35675964176	0	0
SHD	1.46834668859916	9.56453851596653	5179.9794324761	0	0
UBE2C	1.46059783323353	9.61555197855592	3617.45248849242	0	0
BIRC5	1.4587969481018	9.60759334641831	4182.53636795609	0	0
MAD2L1	1.45849205394736	9.60961802990483	5804.16638563	0	0
PDGFRA	1.44648142066451	9.67775209492299	3535.87943148745	0	0
GRIA2	1.44337651223971	9.66310778210125	6479.3410915673	0	0
SOX11	1.435026531559	9.691192987187	6821.5868981657	0	0
MCM7	1.42454699184947	9.67093698605001	6406.3468081398	0	0
C1QL1	1.4177423909595	9.62780068334958	4481.65088690707	0	0
UBE2T	1.40221772963581	9.59994906557025	5097.09073717861	0	0
BCAN	1.39459323945278	9.98666381234636	5561.88210945172	0	0
TYMS	1.38970518412396	9.6559920833961	5403.16022723002	0	0
OLIG1	1.38848575627707	9.8149304272582	5126.51617064432	0	0
THY1	1.38367678631587	9.69144298669196	6299.2029220923	0	0
BEX1	1.37005750964779	9.79460053428934	7182.57122571909	0	0
MLLT11	1.36501474817646	9.76300741643593	7311.37245312477	0	0
B4GALNT1	1.35995338983384	9.5473640973948	4557.72262737971	0	0
PLPPR1	1.35966598950183	9.5868909014288	4342.70143122519	0	0
FAM64A	1.3508835382916	9.56549434980115	3791.45114367936	0	0
SEZ6	1.34652226694901	9.56381594736665	4502.28438640039	0	0
OLIG2	1.3457524152053	9.72010977366216	4499.63808008294	0	0
C2orf80	1.34540715827663	9.59205943927229	4615.4962015971	0	0
PRC1	1.3337110265211	9.57761107051239	4400.59426714524	0	0
SCRG1	1.33144120308626	9.90250870919519	6163.69379619742	0	0
EZH2	1.33121588964242	9.60509980605422	4615.16212690639	0	0
ETV1	1.32232841663323	9.75734502198323	6672.05866665383	0	0
COL9A3	1.31675102421015	9.64728951100969	4599.11770342423	0	0
GPM6A	1.30973549646622	9.96311269924273	10171.5072190519	0	0
TPX2	1.30882639484263	9.57684880938546	3932.83525196932	0	0
MKI67	1.30311227894715	9.58159320360802	3276.52024826433	0	0
TMSB15A	1.3030935954349	9.5842405501341	4222.74287224427	0	0
LMNB1	1.30016679999493	9.60494370821807	4361.84564503079	0	0
ORC6	1.29828472009253	9.57122462095836	4138.95943135888	0	0
PLAT	1.29746216603495	9.59081816271485	4226.5460069597	0	0
VGF	1.29462266798551	9.59395439911506	2200.03865924948	0	0
PFN2	1.28018073329543	9.77878307841557	6365.07824145285	0	0
LHFPL3	1.27998267629842	9.54525753441575	4132.03769401627	0	0
PTTG1	1.27825872522998	9.68660006412929	4408.95923074483	0	0
PTPRZ1	1.27650797134026	10.0996225030523	7452.23502368102	0	0
INSM1	1.27374520679485	9.5601850864901	3876.51769940376	0	0
HMGB3	1.27113125490521	9.66499655819639	4786.83237249681	0	0
NUF2	1.27022311636402	9.55958231014063	3779.04305819557	0	0
RP11-161M6.2	1.26887431041679	9.57081520896831	3814.26833401661	0	0
MARCKSL1	1.26436240027542	10.099735349162	9432.12233815636	0	0
KIAA0101	1.25657632903243	9.62215597945484	3285.82594492798	0	0
CENPU	1.25238252332821	9.58151929250266	3838.49117177835	0	0
SCD5	1.25211500427311	9.82607231537423	6867.22875582644	0	0
MEST	1.25020970378408	9.75742230485794	5824.48748524125	0	0
ASPM	1.24104694629439	9.56012920624571	3245.45717143642	0	0
NCAM1	1.2397245467429	9.74180638157426	5491.56014899716	0	0
DLL1	1.23752422328173	9.55305125015046	3741.83862944527	0	0
AC004540.4	1.23673785821889	9.55429526443301	3727.86276256151	0	0
SOX4	1.23649621352307	9.94074951354811	5039.24845293158	0	0
APOD	1.23400717661283	9.66665506284786	2799.25632566403	0	0
RRM2	1.23072938226447	9.55797992904431	3240.01810889006	0	0
CCNB1	1.2269286566613	9.5830893968537	3080.11425177533	0	0
GPC2	1.21217187445613	9.56346956351365	3527.23365783521	0	0
SMC2	1.19915297845511	9.6671503817735	4188.34542101412	0	0
CENPK	1.19556888650158	9.58356235129935	3453.30897273936	0	0
CCNB2	1.19429077184595	9.56245583035859	2942.13102058591	0	0
PLLP	1.19428736263168	9.58891405436555	3338.90935239161	0	0
TRIM24	1.18861884327518	9.65201635485605	3945.03369271188	0	0
DPYSL3	1.18725086571008	9.69171387698461	4358.74859268319	0	0
DHFR	1.18622888891754	9.61181969881673	3564.80230551149	0	0
DCX	1.18003412364387	9.59299459348043	3360.64047001022	0	0
CNTFR	1.1787492974931	9.57369239843776	3311.52652487904	0	0
SMC4	1.17774866371372	9.70338254595745	4406.55214408689	0	0
PLP1	1.17635490591806	9.69363363963242	2569.82635187157	0	0
SPC25	1.17616532549605	9.55527349389587	3318.05668979694	0	0
BCHE	1.17418748989489	9.65429179834359	3854.94625321985	0	0
PMP2	1.17329753919741	9.92708912209132	4309.03088507897	0	0
CDK6	1.17010966697572	9.71698668438108	4492.06471094438	0	0
RAB3IP	1.16740640920429	9.66806502636901	3939.34506777597	0	0
FAM181B	1.16650579126687	9.70739048602371	4351.50028737869	0	0
MAP1A	1.16524111813397	9.64851798454527	3730.82581825519	0	0
SGO1	1.16509152220997	9.55235929308197	3265.6035042882	0	0
LAPTM4B	1.16159836759176	9.74670944849934	4755.38227831908	0	0
GINS2	1.15982026004378	9.57140631366096	3186.93045042738	0	0
AURKB	1.15966042880497	9.54896306857689	3040.65974371159	0	0
CENPV	1.15669516919443	9.62107354147745	3430.2616866238	0	0
NFIB	1.15517745588887	9.79795257501537	5304.342200324	0	0
SNTG1	1.15396618434139	9.61915878208404	3396.5008135692	0	0
CENPH	1.15009050653747	9.5853794146438	3163.70955509397	0	0
ZNF462	1.14979520713143	9.62113615377776	3383.02547011699	0	0
TMEFF2	1.14936314331744	9.54555898755193	3069.99489393338	0	0
NOVA1	1.14614404012704	10.0256286607695	6143.91209543624	0	0
HIP1	1.14571831639097	9.62026364970115	3348.35678732414	0	0
ASIC4	1.14448245326413	9.60193379312286	3213.3187014281	0	0
MEG3	1.14382606001251	9.75103588521246	3169.47851840263	0	0
NXPH1	1.14170376913558	9.56608832497106	3072.27090634791	0	0
PODXL2	1.14017245605282	9.66118054135174	3660.36281632065	0	0
KCNQ1OT1	1.13696783946712	9.72576292034864	3497.1608786669	0	0
RFC4	1.13549245614863	9.59805194559917	3132.50667735427	0	0
MCM4	1.13468923411115	9.57991705088239	3047.98695221746	0	0
XRCC2	1.13417552605199	9.53950297484517	3233.08759663228	0	0
MELK	1.13380178867827	9.54215396075433	3183.16734770295	0	0
CADM2	1.13351949187992	9.64802416028455	3491.7478991391	0	0
TCF12	1.13349554770608	9.75810261461472	4612.52350861907	0	0
ELAVL3	1.12915075101793	9.64435657944533	3428.62507134446	0	0
FERMT1	1.1280044841764	9.56050811507476	2584.63937037677	0	0
CPXM1	1.12734467863122	9.57016709946597	2984.9903589609	0	0
FXYD6	1.1271856390923	9.90326251254613	5384.08988597526	0	0
LRRN1	1.12552156570718	9.58862446038619	3023.02215656635	0	0
ATCAY	1.124997170808	9.56789768558517	2970.08679578058	0	0
GPSM2	1.12458455056969	9.61381267852475	3160.47082135428	0	0
NEU4	1.12192665616583	9.57508523744707	2813.14513902609	0	0
TUBB2B	1.12097414484194	10.1544659552617	5909.82918862093	0	0
SOX6	1.1200438788333	9.64160323561801	3341.23730101323	0	0
CLSPN	1.11707505268924	9.56348098567614	2925.85965161183	0	0
UHRF1	1.11558715377053	9.57236514239343	2916.26203249363	0	0
CRMP1	1.11282312534266	9.64458983319149	3315.46062485027	0	0
LSAMP	1.11198702114638	9.67604371821175	3584.90610656772	0	0
SOX2	1.11067132364276	10.0164453576829	5953.24897756119	0	0
DBN1	1.10997891600963	9.63536720861195	3221.8664085686	0	0
C1orf61	1.10719487135639	10.1207735589873	5326.12112303096	0	0
CADM4	1.10710747833117	9.66181708342315	3421.12214799511	0	0
NRXN1	1.10527015902737	9.64574999270883	3272.45369480857	0	0
DSEL	1.10396321253962	9.73952072649292	4139.49922685164	0	0
NKX2-2	1.10230935506816	9.59031717371833	2888.29828777759	0	0
ATAD2	1.10040660499639	9.57644166551545	2832.66251904718	0	0
