genes	logFC	logCPM	LR	PValue	FDR
LYZ	2.39621402093548	9.86953357954309	67332.1406444757	0	0
FCGR2B	2.20339714850617	9.66204625829861	38839.3694402652	0	0
S100A4	2.12546274530587	9.93081975863343	62237.9028709617	0	0
TGFBI	2.08978392285437	9.77380345460529	43842.5227370457	0	0
HLA-DRB5	1.91276070554186	9.98213135351159	39565.7137111792	0	0
CD163	1.84919039556213	9.83721365792413	39360.9004891489	0	0
HLA-DQA1	1.76574927342894	10.003944538323	46837.7711220895	0	0
IGKC	1.76491168082439	9.62922510452337	18226.6815260837	0	0
CSTA	1.7606366203091	9.68014831175795	25371.0508092948	0	0
GPNMB	1.74825735248386	9.80479942301941	32846.8717173491	0	0
FAM26F	1.73540652059136	9.7492194194715	28658.2590937049	0	0
HLA-DQB1	1.69146894101203	10.0894998640274	52371.6722730573	0	0
FXYD5	1.68360002581538	9.8693615632152	34822.0521799729	0	0
LSP1	1.67342054868081	9.70766080940491	24263.0270671185	0	0
C1orf162	1.62319298987	9.87265326947973	32555.2977634529	0	0
CXCL3	1.60036316975861	9.63098623982851	13224.073011653	0	0
IER3	1.58764659551266	10.0225647315939	33602.5290049515	0	0
GPR183	1.58756711171755	9.88342521239423	30915.1797752939	0	0
CXCL8	1.5724631081651	9.99824043062022	19239.9637526347	0	0
MS4A6A	1.56955239665958	10.0778554730611	44175.938069012	0	0
C5AR1	1.56833465062158	9.76154435104418	23967.7279146258	0	0
FCGR2A	1.56528056383894	9.9077288991532	32412.3549067613	0	0
RNASE6	1.55710717752386	9.83657548639155	27781.0923768031	0	0
DAB2	1.55693119293725	9.75703192358419	23376.2489899192	0	0
PLAUR	1.55371892560284	9.90997800729616	32066.6686164128	0	0
AREG	1.54695447223195	9.58802660528032	13168.9430250971	0	0
VAMP8	1.53535685162728	10.0018390428971	37103.0137138864	0	0
CD48	1.53119922656579	9.62691988158536	17219.7175404626	0	0
MS4A4A	1.53018065671992	9.87108876727562	28781.0772598244	0	0
SDS	1.52737062227404	9.57736084236872	16074.085527294	0	0
TYROBP	1.52067062891225	10.3639846801216	63160.8029173091	0	0
FCER1G	1.51121459702993	10.3046767172023	57543.6864733871	0	0
CXCR4	1.50878286772712	9.94447782029651	29163.2551114899	0	0
CTSS	1.50326477373475	10.0140139113237	36308.3588110585	0	0
GMFG	1.48819243597323	9.86787995658238	27014.2349479461	0	0
ARHGDIB	1.48599250852721	10.0521239049396	37860.1021341865	0	0
STAB1	1.48511436664341	9.68558928912328	18078.1354224767	0	0
ITGB2	1.48504288903309	10.0189339309895	35720.7392825237	0	0
FCGR3A	1.48369754738673	10.0752280666304	39224.8265870752	0	0
RGS1	1.4831849567199	10.2670049047167	41101.8874505404	0	0
NR4A2	1.47715371947764	9.8668104706173	23312.0069221597	0	0
CLEC5A	1.47683147829484	9.61009923950051	15651.095797902	0	0
SRGN	1.47277959432483	10.3693621555233	59597.3534833109	0	0
MT-RNR2	1.47168245596931	9.70338421244747	1426.25889680658	1.11274362074129e-308	1.11347440929191e-308
CFD	1.47075519561928	9.73726294031487	19894.8159691581	0	0
HLA-DRB1	1.46662385271961	10.4050166862084	40651.2742487052	0	0
CD93	1.46360730760386	9.61408711025359	15412.0631568422	0	0
MSR1	1.46005242638016	9.83706091499309	24379.4968648352	0	0
CD14	1.45651070729429	10.170185368051	30959.4644744556	0	0
C15orf48	1.45594818160772	9.59897119240318	12393.5936571636	0	0
LAPTM5	1.45538165011913	10.2126923007061	46729.2642286727	0	0
CTSH	1.45229847871177	9.85828749429668	25198.7605973447	0	0
CXCL2	1.4476100096191	9.68188816429209	10264.9188242662	0	0
