genes	logFC	logCPM	LR	PValue	FDR
CH25H	1.87124515817027	9.79293420540752	25937.6171275236	0	0
TMIGD3	1.83490180183205	9.80016520545333	30394.35699616	0	0
CX3CR1	1.82556759418572	9.75617392415872	29921.6539234053	0	0
RP11-552D4.1	1.75204626576532	9.64421708104204	21142.3349484652	0	0
SCIN	1.75000454087387	9.78098192214977	28911.8639022091	0	0
PLD4	1.72400224689621	9.76029437352067	26694.6227854851	0	0
DHRS9	1.70555634910909	9.57361877259398	18751.9741639449	0	0
HAMP	1.6951146907206	9.86996291254742	18766.7158785056	0	0
GPR34	1.66683567725037	9.91121732583332	34298.2879458916	0	0
FCGR1A	1.62933700632992	9.93770915362381	34373.2870222839	0	0
APOC2	1.61089975998264	9.70988529906541	18671.7183000637	0	0
TREM2	1.60361933910796	10.0926952541664	43695.9156229987	0	0
HPGDS	1.57539363157931	9.65908646004535	17314.750151746	0	0
TMEM119	1.56868744366881	9.62330290160031	15944.3109743723	0	0
FOLR2	1.55597166422159	9.7612393006645	19091.7910800709	0	0
FCGR1B	1.55073595685676	9.73216188824684	19863.6502479813	0	0
IGSF6	1.53721400374622	9.80501888871348	23040.1383503894	0	0
APBB1IP	1.53402967613086	9.81141698290088	23263.3476031546	0	0
BIN1	1.52807250628253	9.90546651474323	28083.3533791887	0	0
SAMSN1	1.52433250647732	9.84282779354941	24560.3257724071	0	0
FPR1	1.52083946316631	9.86946007699421	25841.5874014852	0	0
OLR1	1.51258544740409	9.89485122035204	26892.7576830755	0	0
LPAR5	1.49400199283658	9.65184608008868	15178.571823376	0	0
C3AR1	1.48127617808396	9.81544538728196	21751.491571144	0	0
C3	1.47461942672398	10.0847777482657	35943.7850362607	0	0
LILRB4	1.4721610180158	9.89116898422862	25167.4652383731	0	0
CSF1R	1.44669749134197	9.89370962636938	24354.3355375329	0	0
SUSD3	1.44460016570389	9.62765583851834	13421.0806020684	0	0
BHLHE41	1.43992641176415	9.81635955276043	20493.7390537686	0	0
LPCAT2	1.43930064872259	9.73379796702675	16956.2845190296	0	0
OLFML3	1.4385808002056	9.81267755383174	20287.4192235748	0	0
ABI3	1.43254329093326	9.75064502897698	17461.2804494199	0	0
C10orf54	1.42463182730068	9.86321358442116	22129.9058098898	0	0
C1QB	1.41596079154027	10.4772673666448	28000.8110723232	0	0
RP11-480C22.1	1.41486999128846	9.56504437759017	12487.1684164457	0	0
CD37	1.41325586213224	9.90418714388334	23635.4216895683	0	0
HAVCR2	1.40261623978759	9.81738673384461	19399.7573736281	0	0
SLC2A5	1.40132607241054	9.73797945276547	16157.0594077554	0	0
C1QA	1.39530633630235	10.3925974719996	25456.8558613128	0	0
CYBA	1.39244319579956	10.246817459987	29122.62580422	0	0
RNASET2	1.35876963222892	10.2238782299995	37359.0609559352	0	0
CORO1A	1.35785908461088	9.93138707527945	22848.7413589821	0	0
LST1	1.35643752853258	9.95499247996734	23843.7921476532	0	0
P2RY12	1.35520202200545	9.56264103965439	11414.995937757	0	0
MEF2C	1.35329216505137	9.91203056999774	21842.716262559	0	0
C1QC	1.34909845601258	10.4122283270969	22754.4471095636	0	0
VSIG4	1.34490893255735	10.0024137783551	25389.617084261	0	0
CEBPA	1.33508306270128	9.65254615359967	11900.7416780597	0	0
LTC4S	1.33271375799962	9.71002066487989	13557.0674852052	0	0
RGS10	1.33195864773446	10.0130258960641	25473.5434146571	0	0
APOC1	1.32451335600205	10.3933693566834	27055.8392178385	0	0
FAM105A	1.32177866320783	9.69598327398531	12878.9476023037	0	0
CD53	1.31926886377191	9.94733737444154	22122.0358425043	0	0
PTPRC	1.31079864340306	9.8577813778859	18253.625516367	0	0
ST6GAL1	1.30820419578049	9.68264477890363	12201.7409475823	0	0
CD14	1.30691728927319	10.170185368051	18684.338131403	0	0
S100A8	1.30177585166678	9.83073886312996	10131.3773298753	0	0
LY86	1.30022122401924	9.89498328660737	19354.0571222618	0	0
GLDN	1.29891996597712	9.61641746849576	9879.29687812187	0	0
LGALS9	1.29860391270438	9.81121403400944	16184.9590246543	0	0
CSF2RA	1.29605351098428	9.71919906641847	13041.3323365364	0	0
LAT2	1.29401660642415	9.74557358359352	13832.0253108153	0	0
UCP2	1.28910833251129	9.82720337220797	16494.3277738324	0	0
PTAFR	1.2860006552444	9.66707117090131	11336.9310979617	0	0
HCST	1.28251177288151	9.87630053672853	18087.0995345546	0	0
CCL3L3	1.28242618479411	9.99712837922463	6857.17379802438	0	0
ADORA3	1.28107858340366	9.75799334655436	13930.842501548	0	0
ARHGAP24	1.27663386733522	9.66336984546484	11064.0523563261	0	0
AIF1	1.27404319172751	10.2501672328223	29630.3554828879	0	0
LAPTM5	1.26219835307593	10.2126923007061	31288.9107735968	0	0
BLNK	1.25951496441612	9.60323116738256	9577.01216964667	0	0
RHBDF2	1.25912092525525	9.68732734675417	11354.170358136	0	0
HLA-DMA	1.25108417454854	10.0643485038162	24281.5749325879	0	0
ALOX5AP	1.24874320432446	10.1337278787593	22715.6232097174	0	0
TYMP	1.24242736264058	9.98734214652214	20905.8772944575	0	0
A2M	1.24107697223121	10.0006271481308	21361.9647322286	0	0
CD69	1.23889606830016	9.76670844874199	11958.7157267043	0	0
TYROBP	1.23408777614073	10.3639846801216	21463.0688942361	0	0
IL18	1.23365680736245	9.78318547636534	13597.8012257207	0	0
FYB	1.23157350387517	9.95871986784567	19456.8836455041	0	0
HLA-DRB1	1.22721464815952	10.4050166862084	18477.0031970258	0	0
TM6SF1	1.22638917750772	9.68089170637527	10561.8853720119	0	0
AXL	1.22561484357408	9.73534679791451	12000.8059649241	0	0
CTSZ	1.22523175013729	9.92549599444756	18060.5638173531	0	0
P2RY13	1.22442730523937	9.66510425551081	10145.9105267415	0	0
MKNK1	1.2209134580251	9.69240342356568	10748.1885824008	0	0
CCL4	1.22042288844881	10.2228051342886	11243.4931145758	0	0
SERPINF1	1.21999903157001	9.76822338656018	12827.3209529337	0	0
SRGN	1.21848555002492	10.3693621555233	22044.4957303321	0	0
MS4A7	1.21684792153063	10.0448288977995	22111.7393514193	0	0
AP000439.1	1.21577838455948	9.54446323360141	9950.08092911055	0	0
S100A9	1.21319586988899	9.89624836177971	8730.56756675418	0	0
POU2F2	1.20840492295989	9.68276888516682	10274.1375034129	0	0
CD84	1.20343569523348	9.72525119161047	11262.5351497362	0	0
IFNGR1	1.19788714296763	9.91398154404162	16813.3321906178	0	0
FCER1G	1.19703683098376	10.3046767172023	23530.4129203788	0	0
