genes	logFC	logCPM	LR	PValue	FDR
IGFBP2	3.79602379467665	10.3000208702482	85970.7517644877	0	0
NOVA1	3.64085558207335	10.1398331074262	68116.9537767995	0	0
TUBB2B	3.53391958619522	10.2853434648001	78444.9519244066	0	0
SOX2	3.51648690354195	10.1233986883792	64082.8754122936	0	0
PTPRZ1	3.50450760222088	10.2129387590676	71208.5643424679	0	0
FABP7	3.46542664511152	10.2443236573838	73098.0780291301	0	0
PTN	3.45970086085782	10.4788275601889	96216.3164059421	0	0
GPM6B	3.3885944273895	10.3115843969069	77447.1611713232	0	0
IGFBP5	3.33036991457632	10.0084974798864	43660.5256184696	0	0
CALD1	3.27119764683911	10.0198501055581	51574.1782900832	0	0
CNN3	3.2464083573345	10.0591132481977	53675.4515545969	0	0
GPM6A	3.23899857495447	10.0436112532781	52469.0321797209	0	0
MARCKSL1	3.21630592014739	10.1988881569474	63581.7268040747	0	0
GAP43	3.21423235149124	10.0555045440432	52769.4172462968	0	0
MAP1B	3.2070799135281	10.0486068533696	52154.8638192936	0	0
BCAN	3.17100733110251	10.0881587791954	54164.4608568875	0	0
SPARCL1	3.13534961220851	10.0552452913484	50793.0580299091	0	0
EGFR	3.12614840822091	10.0171577215427	40895.8830851244	0	0
CPE	3.09994649215435	9.95581578675012	44294.9440096811	0	0
FXYD6	2.98797589063188	9.98357531856669	43695.3915560007	0	0
BAALC	2.94157133132012	9.96346371506534	41645.0036293261	0	0
C1orf61	2.93718794153652	10.2349882173136	59962.9369516162	0	0
PMP2	2.93472579921804	10.000163166269	43657.3063515444	0	0
SPARC	2.93276908409412	9.98725777258218	42850.6905345474	0	0
MT3	2.89587363955869	10.3157835798228	65326.15031352	0	0
CLU	2.88727067608541	10.4592017211546	77382.6769210889	0	0
S100A16	2.85515687950114	9.88113177233899	35838.3818679944	0	0
TTYH1	2.84707785921831	9.87902929465869	35593.5244935962	0	0
NFIB	2.82072872840449	9.85032729074651	33930.9050667864	0	0
SCRG1	2.8166040196927	9.97947865305729	40188.6711372038	0	0
NES	2.78719229352893	9.84717899624252	33168.2613195225	0	0
PCSK1N	2.78405073365078	9.91497254208399	36129.5300569785	0	0
UCHL1	2.75465299846028	9.87641876714186	33771.1617612474	0	0
FHL1	2.74240828737409	9.83576502978685	31905.8202998661	0	0
SCD5	2.74005375408236	9.87153351217679	33291.7496398415	0	0
MDK	2.72216781685759	9.9647881920298	37602.622377341	0	0
OLIG1	2.71663484315262	9.86276003570053	30232.6627673383	0	0
RBP1	2.6933589594994	9.88698856935393	33153.1298302698	0	0
BEX1	2.67290050642214	9.84554304985207	31004.561810896	0	0
SERPINE2	2.66635556139959	9.81439822009682	29768.2793039329	0	0
FEZ1	2.66158870201329	9.89355438570988	32896.2146501449	0	0
BEX3	2.65859470269288	10.1832448094989	49605.8795844003	0	0
METRN	2.64101190487454	9.98168268512178	37004.529300213	0	0
MEG3	2.63370956567384	9.79542124432808	28612.7725567206	0	0
AGT	2.62740679222181	9.7972469529478	26547.7630884565	0	0
MAP2	2.61895970409356	9.83140712167631	29506.5326396012	0	0
PFN2	2.61289251911098	9.82393603011147	29125.851045791	0	0
SOX4	2.60240099994237	10.0118861926542	36250.4856417369	0	0
TSC22D1	2.6009967392177	9.96038412270966	35129.4177109764	0	0
SOX9	2.59853610900259	9.80832455079678	28339.2105085143	0	0
NPDC1	2.57711017527057	9.78534836501454	27292.5230030828	0	0
ID4	2.56861235291095	9.78344076140231	27087.8635044414	0	0
CYR61	2.54087457870035	9.75921156867295	21821.1764286924	0	0
ATP1B2	2.52457173052424	9.77584763306575	26095.782816495	0	0
CSRP2	2.52414576733045	9.78303651266885	26268.4822618096	0	0
NCAM1	2.51465153840453	9.77247454685804	25837.131778857	0	0
FYN	2.49716253918053	9.77552728715318	25594.9452646699	0	0
IGFBP3	2.49634718106178	9.76146619010211	19402.7945520282	0	0
LINC00461	2.49547911573555	9.76273642259219	25282.4435171202	0	0
CAMK2N1	2.48808899308604	9.78965825663193	25828.1264036437	0	0
ETV1	2.47888652647804	9.79223301950429	25749.9729235353	0	0
HOPX	2.47410802581928	9.90040295048314	25859.2903706813	0	0
DNER	2.46169305525432	9.76612061902184	24741.3606211287	0	0
ARC	2.45944260744609	9.75853058496473	24375.9837179598	0	0
CDH2	2.4559735075218	9.74110861570418	24242.9417497043	0	0
NTRK2	2.4478569093717	9.7588729110166	22720.0432334709	0	0
DSEL	2.44658712205599	9.77688906110279	24753.1249559806	0	0
HEY1	2.43932440880309	9.74894587989795	24005.4193109394	0	0
AQP4	2.43926935932613	9.76288271692883	21465.5845848607	0	0
CRIP2	2.43373016152377	9.75554456386984	24019.6987596286	0	0
TMEM158	2.43099733571704	9.73933755504811	23732.9638484345	0	0
SCG3	2.42647047560459	9.75518101998254	23883.5433789053	0	0
SCG2	2.42540329199724	9.73278850737613	21639.9977839689	0	0
PCDH9	2.41330959046161	9.75615259069767	23672.6128379947	0	0
IGFBP7	2.40040490798759	9.79048706871436	20255.982714999	0	0
CRYAB	2.39693258825003	10.054648744889	32316.8473464614	0	0
FAM181B	2.39385731260975	9.73560570225534	22987.1386427319	0	0
OLIG2	2.37442907272795	9.74881152846648	21972.0584985999	0	0
NFIX	2.3700332971319	9.7508219977066	22815.1934996859	0	0
