genes	logFC	logCPM	LR	PValue	FDR
TREM2	3.87502023732584	9.90237392945623	125003.646371298	0	0
CD14	3.72616017872587	9.91631292543466	120518.610837946	0	0
C1QC	3.69631715061695	10.1188975107756	163519.436460142	0	0
C1QA	3.69062425311719	10.1139045823509	161968.803598361	0	0
TYROBP	3.68242454455904	10.0540855234014	147559.125550213	0	0
CYBA	3.67929923146419	9.99631909152471	134654.022123907	0	0
FCGR1A	3.63057931345339	9.78915979572416	94084.9885796214	0	0
C1QB	3.5984971170911	10.1950184708395	175626.325147706	0	0
LAPTM5	3.57694747545923	9.94887225221273	119575.566291517	0	0
AIF1	3.55569016623333	9.98130406015268	124970.754300572	0	0
FCER1G	3.50782445567176	10.0098210883176	128214.965464503	0	0
HLA-DRB1	3.47614576153121	10.0979308079095	145024.906948719	0	0
SRGN	3.4730921475335	10.0678839502884	138362.440488208	0	0
GPR34	3.43878736731761	9.78030163983496	84325.6299922159	0	0
ALOX5AP	3.40804656449231	9.89389052457254	101115.788649931	0	0
MS4A7	3.38678250603814	9.82197568590358	88257.6316119635	0	0
CD37	3.362227150162	9.74362422058131	76409.264988094	0	0
CSF1R	3.36032630110522	9.74003760568551	75925.1438296918	0	0
HLA-DQB1	3.35868418161801	9.81906813464403	86600.2756475557	0	0
VSIG4	3.34719848858797	9.81198481120996	85035.4345740071	0	0
LILRB4	3.33784207917445	9.74218753199721	75215.6363997069	0	0
FCGR3A	3.33718893038254	9.83950571077441	88848.8053397787	0	0
HAMP	3.32836684285665	9.75353448066391	71166.3948950817	0	0
RGS10	3.32448455518402	9.81930092078969	85171.7835599235	0	0
FPR1	3.3193705850074	9.73160876624107	73277.6245783705	0	0
HLA-DMA	3.30873735274213	9.84664404665943	88730.1740039737	0	0
MS4A6A	3.29933980226898	9.82882170094335	85545.5275865955	0	0
CD53	3.29561216133799	9.76732195123364	76580.0642444111	0	0
ITGB2	3.29478502979208	9.79740290203348	80687.021835365	0	0
LST1	3.26958261905671	9.77991066980631	77200.040426025	0	0
RGS1	3.24188853865908	9.9866121038709	109346.752790133	0	0
ARHGDIB	3.22676034397555	9.82169063048845	81376.2373368348	0	0
LY86	3.21747473580789	9.72763050887758	68666.5135450973	0	0
TMIGD3	3.19756609287346	9.71510102160755	66589.830886595	0	0
TYMP	3.1917604655244	9.79206673387354	75693.1428421577	0	0
VAMP8	3.18423822791059	9.77780507333994	73459.5433355078	0	0
OLR1	3.17871992893494	9.75800018295073	70685.567562296	0	0
SAMSN1	3.16440291437063	9.71691128185643	65446.1690310147	0	0
SPI1	3.15556435509751	9.72791910035942	66250.1743515956	0	0
HCST	3.12205386855121	9.71543647881222	63644.091403626	0	0
CTSS	3.08524260976199	9.79129397976742	71289.0989294551	0	0
C10orf54	3.08483786062892	9.72481677243244	63193.0014334178	0	0
C3	3.0777430787258	9.91681918469953	89264.2717084829	0	0
CORO1A	3.07483573009976	9.77128340786661	68283.9553257436	0	0
C3AR1	3.06562153282854	9.6936906139911	59473.1000942156	0	0
PYCARD	3.05870859820162	9.70039293498471	59785.8977466108	0	0
PLD4	3.05730483386416	9.67368015056681	57775.4042599446	0	0
APBB1IP	3.05435854527973	9.69671708696367	59296.9451134951	0	0
CX3CR1	3.04597236154215	9.68069562467754	57735.8790893002	0	0
IGSF6	3.04596845656544	9.6922129931746	58597.6940535444	0	0
SCIN	3.0403762780405	9.69521742604145	58636.948601862	0	0
PTPRC	3.00889069632098	9.70957848220649	58785.6028065329	0	0
SERPINA1	3.00735442435579	9.70771306098425	58547.4752263838	0	0
CCL3L3	2.9906708020176	9.81953715923142	40395.2321442121	0	0
HLA-DQA1	2.98104760203476	9.74912349391256	62016.2740799384	0	0
APOC1	2.97634208290558	10.153065518133	123557.558726087	0	0
FOLR2	2.96778755157929	9.66121061021672	53586.3022428196	0	0
HLA-DRA	2.96748868604822	10.2359492587407	138424.70636885	0	0
HAVCR2	2.96701516193312	9.69035209955662	55492.3049000904	0	0
FYB	2.96683830823584	9.780289808914	65215.5349326516	0	0
RNASET2	2.96238139522523	10.0197535955168	99752.378393584	0	0
CD68	2.9584332182708	9.8565867024608	74926.2081309529	0	0
S100A9	2.94932354692575	9.73022984360349	52653.679303031	0	0
CD74	2.90761480646043	10.338657543736	153728.122003463	0	0
IER3	2.89159011685055	9.78770662947184	63215.7866540689	0	0
LGALS9	2.88380253345129	9.67702063414563	51429.9000523946	0	0
FCGR1B	2.87734888185513	9.63959433140605	49463.9077285786	0	0
FCGBP	2.86294365723732	9.71447679609576	52817.5616208785	0	0
MNDA	2.85796052942045	9.66892683923656	49935.1216729202	0	0
OLFML3	2.84363292901319	9.69715730819421	51700.9734817922	0	0
ABI3	2.83738673890064	9.64529370797606	47964.738678228	0	0
CCL4	2.83209085184346	10.0016479847675	65416.8277487348	0	0
SLC11A1	2.81486562023502	9.6919207274864	50246.5160076769	0	0
CH25H	2.81396469516024	9.7313080376292	51052.5106531701	0	0
GMFG	2.81023142960362	9.68620905921368	49602.0533351794	0	0
CYBB	2.79459467163634	9.68929729626796	49329.2957676177	0	0
IL18	2.78964214460706	9.65241473826293	46538.3510825644	0	0
APOC2	2.74432493054731	9.63209945209171	44188.2957146145	0	0
S100A8	2.74170325198271	9.70151284496261	41572.318441289	0	0
BCL2A1	2.73632563904469	9.67056913747827	45889.7059578831	0	0
HCLS1	2.72990608783948	9.68415706619305	46730.6487481661	0	0
MSR1	2.72493831703753	9.66675504913632	45239.328504157	0	0
RNASE6	2.7224866938865	9.65709492692301	44518.322661355	0	0
MS4A4A	2.72058372618804	9.68415774702938	46422.5569201489	0	0
SLCO2B1	2.72026697799031	9.66333459405071	44849.1345387341	0	0
C1orf162	2.70634222932563	9.67544230715559	45266.3526031828	0	0
ADAP2	2.6701266605675	9.63826711537845	41791.429079736	0	0
PLEK	2.66438727552078	9.65348651519155	42392.8290912502	0	0
GPR183	2.65307707916964	9.68731783444211	44478.4675067499	0	0
ADORA3	2.65275285738204	9.64382825193287	41478.0799154604	0	0
IL1B	2.64913184956461	9.77705320092348	39740.3023273668	0	0
FCGR2A	2.64502438846364	9.70659570827989	45863.0839606291	0	0
EVI2B	2.64146428868374	9.64205534231479	41023.2673008976	0	0
LAT2	2.63252617853253	9.63576615473056	40447.3877514788	0	0
TBXAS1	2.62981401127938	9.63839603438703	40473.2221408418	0	0
CD69	2.61595034223151	9.64904251656053	40582.0894099244	0	0
SLC2A5	2.60589315295682	9.64170357317133	39866.0899761836	0	0
CSF2RA	2.59582624669516	9.6164404512454	38730.2957496256	0	0
LAIR1	2.57401664117894	9.63805231014123	38682.6996438903	0	0
CD86	2.5614452189453	9.62574568572031	37787.1555076877	0	0
CTSZ	2.56016534925097	9.77848183298158	49831.3373849305	0	0
PLXDC2	2.54711239156053	9.71532703614918	43447.5719428078	0	0
LPCAT2	2.53144604943226	9.6457983528225	37780.4333260081	0	0
CD300A	2.52168593241995	9.60805297092369	36202.388292029	0	0
LTC4S	2.52089170095552	9.61605923951243	36246.4264985774	0	0
CTSH	2.5200942068504	9.68389319701267	40018.7071635191	0	0
CTSC	2.51834152128294	9.80008920838982	50479.2068055226	0	0
CD83	2.51385620699277	9.75876533046198	42242.6974085631	0	0
FXYD5	2.51092425179495	9.66625425501214	38454.4897278239	0	0
