genes	logFC	logCPM	LR	PValue	FDR
GFAP	-5.86995756609298	9.76707406169123	47.3823064707578	5.84075167524966e-12	8.4525187620612e-09
PKM	-5.86995824023429	9.76707406169867	47.3733007025055	5.86764747254034e-12	8.4525187620612e-09
DPYSL3	-6.85757029846633	9.76713128857251	94.8480770967918	2.05571803233539e-22	3.35616525959075e-19
MT.ND2	-7.6711501102881	9.76721874518979	167.406408420278	2.72682778044702e-38	4.7698061082405e-35
MT.ATP6	-8.22701580258947	9.76731411250284	246.51841696943	1.49099811358671e-55	2.80869636950962e-52
ACTB	-9.3743624763274	9.76767645088499	547.148063684022	5.25297168034542e-121	1.07200019566649e-117
CLU	-9.59342204003966	9.76778474756318	637.021802412682	1.48476250160772e-140	3.3054862638065e-137
GAPDH	-9.969317746087	9.76801352883438	826.896183442566	7.6641879749086e-182	1.87688299317537e-178
MT.ND5	-9.99663275224016	9.76803259229117	842.719884798267	2.78154911606737e-185	7.5685951448193e-182
SPARC	-10.5034436997742	9.76846033587707	1197.81095016879	1.82406828079685e-262	5.58370101605426e-259
MT.CYB	-11.6993400238274	9.77032286373391	2745.20553996214	0	0
MT.CO2	-11.7455578832942	9.77043039309578	2834.60167714897	0	0
VIM	-11.7663916568995	9.77047999579349	2875.84182751707	0	0
MT.CO3	-11.8098271173036	9.77058575416719	2963.77529117217	0	0
MT.RNR2	-11.962443754915	9.77098354655415	3294.57875873972	0	0
MT.CO1	-12.6921857022372	9.77358970231271	5464.09131866801	0	0
MT.ND4	-12.7693509313113	9.77395001853318	5764.34487741487	0	0
