gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	astrocyte	dendritic_cell	endothelial_cell	malignant_cell	mast_cell	monocyte	mural_cell	natural_killer_cell	neuron	oligodendrocyte	radial_glial_cell
PTGR1	Q14914	True	PTGR1_HUMAN	12oxoLeukotrieneB4_byPTGR1	CPI-CS0A5B6BD7A	0.117	0.045	0.073	0.183	0.009	0.048	0.163	0.007	0.105	0.019	0.221
PTGR1	Q14914	True	PTGR1_HUMAN	12oxoLeukotrieneB4_byPTGR1	CPI-CS04A56D5BE	0.117	0.045	0.073	0.183	0.009	0.048	0.163	0.007	0.105	0.019	0.221
CYP11A1	P05108	True	CP11A_HUMAN	22Hydroxycholesterol_byCYP11A1	CPI-CS08D535BCF	0.086	0.0	0.0	0.001	0.0	0.0	0.003	0.0	0.0	0.0	0.001
CYP3A4	P08684	True	CP3A4_HUMAN	22Hydroxycholesterol_byCYP3A4	CPI-CS01C347639	0.061	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0
DAGLA	Q9Y4D2	True	DGLA_HUMAN	2arachidonoylglycerol_byDAGLA	CPI-CS03629A52A	0.09	0.001	0.005	0.03	0.0	0.008	0.02	0.0	0.299	0.005	0.007
DAGLA	Q9Y4D2	True	DGLA_HUMAN	2arachidonoylglycerol_byDAGLA	CPI-CS0C6F86DF5	0.09	0.001	0.005	0.03	0.0	0.008	0.02	0.0	0.299	0.005	0.007
DAGLA	Q9Y4D2	True	DGLA_HUMAN	2arachidonoylglycerol_byDAGLA	CPI-CS045C37E64	0.09	0.001	0.005	0.03	0.0	0.008	0.02	0.0	0.299	0.005	0.007
DAGLB	Q8NCG7	True	DGLB_HUMAN	2arachidonoylglycerol_byDAGLB	CPI-CS007D418BE	0.077	0.102	0.041	0.059	0.017	0.098	0.034	0.018	0.136	0.032	0.011
DAGLB	Q8NCG7	True	DGLB_HUMAN	2arachidonoylglycerol_byDAGLB	CPI-CS030959ED1	0.077	0.102	0.041	0.059	0.017	0.098	0.034	0.018	0.136	0.032	0.011
DAGLB	Q8NCG7	True	DGLB_HUMAN	2arachidonoylglycerol_byDAGLB	CPI-CS01F7D06F1	0.077	0.102	0.041	0.059	0.017	0.098	0.034	0.018	0.136	0.032	0.011
ALOX5	P09917	True	LOX5_HUMAN	5SHpETE_byALOX5	CPI-CS016CDFE07	0.004	0.225	0.012	0.009	0.615	0.214	0.011	0.017	0.0	0.01	0.0
ALOX5	P09917	True	LOX5_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS00DCACEEE	0.004	0.225	0.012	0.009	0.615	0.214	0.011	0.017	0.0	0.01	0.0
ALOX5	P09917	True	LOX5_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS01FC3CF4D	0.004	0.225	0.012	0.009	0.615	0.214	0.011	0.017	0.0	0.01	0.0
ALOX5	P09917	True	LOX5_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS0891F5216	0.004	0.225	0.012	0.009	0.615	0.214	0.011	0.017	0.0	0.01	0.0
ALOX5	P09917	True	LOX5_HUMAN	LipoxinA4_byALOX5	CPI-CS087E1C654	0.004	0.225	0.012	0.009	0.615	0.214	0.011	0.017	0.0	0.01	0.0
ALOX5	P09917	True	LOX5_HUMAN	LipoxinA4_byALOX5	CPI-CS0FC36F030	0.004	0.225	0.012	0.009	0.615	0.214	0.011	0.017	0.0	0.01	0.0
LTC4S	Q16873	True	LTC4S_HUMAN	5SHpETE_byALOX5	CPI-CS016CDFE07	0.004	0.225	0.012	0.009	0.615	0.214	0.011	0.017	0.0	0.01	0.0
LTC4S	Q16873	True	LTC4S_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS00DCACEEE	0.004	0.225	0.012	0.009	0.615	0.214	0.011	0.017	0.0	0.01	0.0
LTC4S	Q16873	True	LTC4S_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS01FC3CF4D	0.004	0.225	0.012	0.009	0.615	0.214	0.011	0.017	0.0	0.01	0.0
LTC4S	Q16873	True	LTC4S_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS0891F5216	0.004	0.225	0.012	0.009	0.615	0.214	0.011	0.017	0.0	0.01	0.0
LTC4S	Q16873	True	LTC4S_HUMAN	LipoxinA4_byALOX5	CPI-CS087E1C654	0.004	0.225	0.012	0.009	0.615	0.214	0.011	0.017	0.0	0.01	0.0
LTC4S	Q16873	True	LTC4S_HUMAN	LipoxinA4_byALOX5	CPI-CS0FC36F030	0.004	0.225	0.012	0.009	0.615	0.214	0.011	0.017	0.0	0.01	0.0
ALOX5AP	P20292	True	AL5AP_HUMAN	5SHpETE_byALOX5	CPI-CS016CDFE07	0.004	0.225	0.012	0.009	0.615	0.214	0.011	0.017	0.0	0.01	0.0
ALOX5AP	P20292	True	AL5AP_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS00DCACEEE	0.004	0.225	0.012	0.009	0.615	0.214	0.011	0.017	0.0	0.01	0.0
ALOX5AP	P20292	True	AL5AP_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS01FC3CF4D	0.004	0.225	0.012	0.009	0.615	0.214	0.011	0.017	0.0	0.01	0.0
ALOX5AP	P20292	True	AL5AP_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS0891F5216	0.004	0.225	0.012	0.009	0.615	0.214	0.011	0.017	0.0	0.01	0.0
ALOX5AP	P20292	True	AL5AP_HUMAN	LipoxinA4_byALOX5	CPI-CS087E1C654	0.004	0.225	0.012	0.009	0.615	0.214	0.011	0.017	0.0	0.01	0.0
ALOX5AP	P20292	True	AL5AP_HUMAN	LipoxinA4_byALOX5	CPI-CS0FC36F030	0.004	0.225	0.012	0.009	0.615	0.214	0.011	0.017	0.0	0.01	0.0
DHRS9	Q9BPW9	True	DHRS9_HUMAN	5alphaDihydroprogesterone_byDHRS9	CPI-CS072C12EF4	0.0	0.037	0.002	0.004	0.288	0.028	0.005	0.005	0.0	0.003	0.0
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR1_BMPR2	CPI-CS08CC8F9D3	0.052	0.032	0.229	0.06	0.04	0.05	0.208	0.009	0.123	0.049	0.005
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR1_BMPR2	CPI-CS0E1BF543E	0.052	0.032	0.229	0.06	0.04	0.05	0.208	0.009	0.123	0.049	0.005
