gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	monocytes	neoplastic
SULT1A1	P50225	True	ST1A1_HUMAN	DHEAsulfate_bySULT2B	CPI-CS0D89E7C19	0.129	0.013
IL10RA	Q13651	True	I10R1_HUMAN	IL10_receptor	CPI-CS090610CD1	0.28	0.028
IL10RB	Q08334	True	I10R2_HUMAN	IL10_receptor	CPI-CS090610CD1	0.28	0.028
IL1R2	P27930	True	IL1R2_HUMAN	IL1_receptor_inhibitor	CPI-CS09CDFC0C5	0.162	0.016
IL1R2	P27930	True	IL1R2_HUMAN	IL1_receptor_inhibitor	CPI-CS0A13FF479	0.162	0.016
IL1RAP	Q9NPH3	True	IL1AP_HUMAN	IL1_receptor_inhibitor	CPI-CS09CDFC0C5	0.162	0.016
IL1RAP	Q9NPH3	True	IL1AP_HUMAN	IL1_receptor_inhibitor	CPI-CS0A13FF479	0.162	0.016
LTA4H	P09960	True	LKHA4_HUMAN	LeukotrieneB4_byLTA4H	CPI-CS047D9C0D7	0.465	0.046
ALOX5	P09917	True	LOX5_HUMAN	LipoxinA4_byALOX5	CPI-CS0FC36F030	0.176	0.017
ALOX5AP	P20292	True	AL5AP_HUMAN	LipoxinA4_byALOX5	CPI-CS0FC36F030	0.176	0.017
LTC4S	Q16873	True	LTC4S_HUMAN	LipoxinA4_byALOX5	CPI-CS0FC36F030	0.176	0.017
CCL5	P13501	False	CCL5_HUMAN		CPI-SS0A021DB6E	0.077	0.008
CCL3L1	CCL3L1	False	CCL3L1		CPI-SS0E1735D13	0.273	0.028
CCL3L1	P16619	False	CL3L1_HUMAN		CPI-SS0817CE2B3	0.273	0.028
CCL2	P13500	False	CCL2_HUMAN		CPI-SS0CF0E4DE9	0.539	0.055
SPP1	P10451	False	OSTP_HUMAN		CPI-SC0C81483EA	2.425	0.242
FN1	P02751	False	FINC_HUMAN		CPI-SC0F96CE387	0.518	0.053
PLAUR	Q03405	False	UPAR_HUMAN		CPI-SC0E029AB31	1.123	0.113
SPP1	P10451	False	OSTP_HUMAN		CPI-SS02AB0C3E0	2.425	0.242
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS0703338F5	0.388	0.039
TYROBP	O43914	False	TYOBP_HUMAN		CPI-SS014C07723	2.654	0.264
SPP1	P10451	False	OSTP_HUMAN		CPI-SS0C1BD22BC	2.425	0.242
GRN	P28799	False	GRN_HUMAN		CPI-SS07CCAD9BF	1.435	0.143
LRPAP1	P30533	False	AMRP_HUMAN		CPI-SS02A53F29E	0.375	0.037
COPA	P53621	False	COPA_HUMAN		CPI-SS04F3A1E5C	0.27	0.027
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS09C52F54E	0.388	0.039
APP	P05067	False	A4_HUMAN		CPI-SS07ACDDCD6	0.246	0.025
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS002DF6C31	0.388	0.039
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS0CE693E3E	0.388	0.039
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS0419B80C4	0.388	0.039
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS014958F32	0.388	0.039
SIRPA	P78324	False	SHPS1_HUMAN		CPI-SS0339AE950	0.308	0.031
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS08877A081	0.388	0.039
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS0E23CEB91	0.388	0.039
CADM1	Q9BY67	False	CADM1_HUMAN		CPI-SS0889E281D	0.112	0.011
FN1	P02751	False	FINC_HUMAN		CPI-SC06C3BA86F	0.518	0.053
FN1	P02751	False	FINC_HUMAN		CPI-SC08F923F07	0.518	0.053
FN1	P02751	False	FINC_HUMAN		CPI-SC09B45FB39	0.518	0.053
THBS1	P07996	False	TSP1_HUMAN		CPI-SS0C93E48D7	0.485	0.048
ICAM1	P05362	False	ICAM1_HUMAN		CPI-SC0C09120F1	0.265	0.026
C3	P01024	False	CO3_HUMAN		CPI-SC0C93C7670	0.542	0.053
ICAM1	P05362	False	ICAM1_HUMAN		CPI-SC08CB03AD8	0.265	0.026
HLA-C	HLAC	False	HLAC		CPI-SS034D36D2F	1.906	0.189
LAMP1	P11279	False	LAMP1_HUMAN		CPI-SS055E061C9	0.531	0.052
TGFB1	P01137	False	TGFB1_HUMAN		CPI-SS08A1F8C22	0.397	0.04
TGFB1	P01137	False	TGFB1_HUMAN		CPI-SC0DABCC4B5	0.397	0.04
CD1D	P15813	False	CD1D_HUMAN		CPI-SS0EAB03260	0.113	0.011
CD74	P04233	False	HG2A_HUMAN		CPI-SS0ABC5C1B8	3.072	0.305
ICAM1	P05362	False	ICAM1_HUMAN		CPI-SS0D4C221B8	0.265	0.026
TNFRSF1A	P19438	False	TNR1A_HUMAN		CPI-SS0DA033F03	0.41	0.04
TNFRSF1B	P20333	False	TNR1B_HUMAN		CPI-SS0C4E86714	0.574	0.058
CD74	P04233	False	HG2A_HUMAN		CPI-SS0302E8E8F	3.072	0.305
