id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	AC-like|AC-like	AC-like|MES-like	AC-like|NPC-like	AC-like|OPC-like	AC-like|macrophage	AC-like|microglial_cell	MES-like|AC-like	MES-like|MES-like	MES-like|NPC-like	MES-like|OPC-like	MES-like|macrophage	MES-like|microglial_cell	NPC-like|AC-like	NPC-like|MES-like	NPC-like|NPC-like	NPC-like|OPC-like	NPC-like|macrophage	NPC-like|microglial_cell	OPC-like|AC-like	OPC-like|MES-like	OPC-like|NPC-like	OPC-like|OPC-like	OPC-like|macrophage	OPC-like|microglial_cell	macrophage|AC-like	macrophage|MES-like	macrophage|NPC-like	macrophage|OPC-like	macrophage|macrophage	macrophage|microglial_cell	microglial_cell|AC-like	microglial_cell|MES-like	microglial_cell|NPC-like	microglial_cell|OPC-like	microglial_cell|macrophage	microglial_cell|microglial_cell
CPI-CS0A5B6BD7A	12oxoLeukotrieneB4_byPTGR1_LTB4R	complex:12oxoLeukotrieneB4_byPTGR1	simple:Q15722		ENSG00000213903	True	False	True	curated	False	0.112	0.111	0.114	0.114	0.142	0.136	0.117	0.116	0.118	0.119	0.146	0.141	0.088	0.088	0.09	0.09	0.118	0.113	0.083	0.082	0.085	0.085	0.113	0.107	0.063	0.062	0.065	0.065	0.093	0.087	0.068	0.067	0.07	0.07	0.098	0.092
CPI-CS047D9C0D7	LeukotrieneB4_byLTA4H_LTB4R	complex:LeukotrieneB4_byLTA4H	simple:Q15722		ENSG00000213903	True	False	True	curated	False	0.089	0.089	0.091	0.091	0.119	0.113	0.1	0.099	0.102	0.102	0.129	0.124	0.09	0.09	0.092	0.092	0.12	0.115	0.099	0.098	0.101	0.101	0.128	0.123	0.19	0.189	0.191	0.192	0.219	0.214	0.128	0.127	0.13	0.13	0.158	0.152
CPI-CS04A56D5BE	12oxoLeukotrieneB4_byPTGR1_LTB4R2	complex:12oxoLeukotrieneB4_byPTGR1	simple:Q9NPC1		ENSG00000213906	True	False	True	curated	False	0.106	0.106	0.106	0.106	0.107	0.107	0.111	0.111	0.11	0.111	0.112	0.112	0.082	0.083	0.082	0.083	0.084	0.084	0.077	0.077	0.077	0.077	0.078	0.078	0.057	0.057	0.057	0.057	0.058	0.058	0.062	0.062	0.062	0.062	0.063	0.063
CPI-CS0F5B070C5	LeukotrieneB4_byLTA4H_LTB4R2	complex:LeukotrieneB4_byLTA4H	simple:Q9NPC1		ENSG00000213906	True	False	True	curated	False	0.083	0.083	0.083	0.084	0.085	0.084	0.094	0.094	0.094	0.094	0.095	0.095	0.084	0.085	0.084	0.085	0.086	0.086	0.093	0.093	0.093	0.093	0.094	0.094	0.184	0.184	0.183	0.184	0.185	0.185	0.122	0.122	0.122	0.122	0.123	0.123
CPI-CS0AFE4D0CB	LeukotrieneB4_byLTA4H_GPR17	complex:LeukotrieneB4_byLTA4H	simple:Q13304		ENSG00000144230	True	False	True	curated	False	0.087	0.085	0.198	0.167	0.084	0.084	0.097	0.096	0.208	0.178	0.094	0.094	0.088	0.087	0.199	0.168	0.085	0.085	0.096	0.095	0.207	0.177	0.093	0.093	0.187	0.186	0.298	0.267	0.184	0.184	0.126	0.124	0.237	0.206	0.122	0.122
CPI-CS00DCACEEE	LeukotrieneC4_byLTC4S_GPR17	complex:LeukotrieneC4_byLTC4S	simple:Q13304		ENSG00000144230	True	False	True	curated	False	0.008	0.006	0.119	0.088	0.004	0.004	0.007	0.005	0.118	0.087	0.004	0.003	0.007	0.005	0.118	0.087	0.004	0.004	0.009	0.008	0.12	0.09	0.006	0.006	0.199	0.197	0.31	0.279	0.196	0.196	0.19	0.189	0.301	0.27	0.187	0.187
CPI-CS0957C3253	LeukotrieneD4_byGGT1_GPR17	complex:LeukotrieneD4_byGGT1	simple:Q13304		ENSG00000144230	True	False	True	curated	False	0.008	0.006	0.119	0.088	0.004	0.004	0.007	0.005	0.118	0.087	0.003	0.003	0.006	0.004	0.117	0.086	0.002	0.002	0.006	0.005	0.117	0.087	0.003	0.003	0.005	0.004	0.116	0.086	0.002	0.002	0.005	0.003	0.116	0.085	0.002	0.001
CPI-CS01FC3CF4D	LeukotrieneC4_byLTC4S_CYSLTR2	complex:LeukotrieneC4_byLTC4S	simple:Q9NS75		ENSG00000152207	True	False	True	curated	False	0.004	0.004	0.004	0.007	0.01	0.004	0.004	0.003	0.003	0.006	0.009	0.003	0.004	0.003	0.003	0.006	0.009	0.004	0.006	0.006	0.006	0.009	0.012	0.006	0.196	0.195	0.195	0.198	0.201	0.196	0.187	0.187	0.186	0.189	0.192	0.187
CPI-CS0A0F970F5	LeukotrieneD4_byGGT1_CYSLTR2	complex:LeukotrieneD4_byGGT1	simple:Q9NS75		ENSG00000152207	True	False	True	curated	False	0.005	0.004	0.004	0.007	0.01	0.004	0.004	0.003	0.003	0.006	0.009	0.003	0.003	0.002	0.002	0.005	0.008	0.002	0.003	0.003	0.002	0.005	0.009	0.003	0.002	0.002	0.002	0.004	0.008	0.002	0.002	0.001	0.001	0.004	0.007	0.001
CPI-CS0891F5216	LeukotrieneC4_byLTC4S_CYSLTR1	complex:LeukotrieneC4_byLTC4S	simple:Q9Y271		ENSG00000173198	True	False	True	curated	False	0.005	0.005	0.005	0.01	0.048	0.047	0.005	0.004	0.004	0.01	0.048	0.046	0.005	0.004	0.005	0.01	0.048	0.046	0.007	0.007	0.007	0.012	0.05	0.049	0.197	0.196	0.197	0.202	0.24	0.238	0.188	0.187	0.188	0.193	0.231	0.23
